event_id,timestamp,vendor_id,account_id,device_id,auth_result,MFA_status,role,access_zone,off_hours,new_device,event_label,incident_id,risk_probability,predicted_label,actual_binary
VPN-00403,2026-06-07 03:59:09+00:00,V013,ACC0005,DEV0009,SUCCESS,FAILED,YardVendor,CONTROL-ROOM,YES,NO,SUSPICIOUS,,0.29236670527859443,NORMAL,1
VPN-01787,2026-06-15 01:41:00+00:00,V008,ACC0010,DEV0019,SUCCESS,YES,YardVendor,CONTROL-ROOM,YES,NO,NORMAL,,0.2904250253220194,NORMAL,0
VPN-00332,2026-06-26 06:50:28+00:00,V017,ACC0053,DEV0005,FAILURE,YES,NetworkVendor,YARD-C,NO,NO,NORMAL,,0.2857548880778181,NORMAL,0
VPN-00577,2026-06-20 02:23:26+00:00,V015,ACC0059,DEV0017,FAILURE,YES,AutomationVendor,GATE-A,YES,NO,NORMAL,,0.2736648433161734,NORMAL,0
VPN-00435,2026-06-29 14:19:27+00:00,V020,ACC0054,DEV0007,FAILURE,YES,AutomationVendor,YARD-C,NO,NO,NORMAL,,0.266530719189547,NORMAL,0
VPN-00909,2026-06-29 01:17:49+00:00,V008,ACC0010,DEV0019,SUCCESS,FAILED,YardVendor,CRANE-ZONE,YES,NO,NORMAL,,0.2634853179054045,NORMAL,0
VPN-01150,2026-06-24 19:41:00+00:00,V011,ACC0044,DEV0076,SUCCESS,YES,AutomationVendor,YARD-A,NO,YES,SUSPICIOUS,INC-T21-004,0.2552173536199548,NORMAL,1
VPN-01521,2026-06-20 13:37:46+00:00,V014,ACC0032,DEV0063,SUCCESS,YES,MaintenanceVendor,GATE-B,NO,NO,NORMAL,,0.2530420532179054,NORMAL,0
VPN-00932,2026-06-24 13:18:44+00:00,V008,ACC0050,DEV0099,SUCCESS,FAILED,YardVendor,CRANE-ZONE,NO,NO,NORMAL,,0.2467737969673476,NORMAL,0
VPN-01571,2026-06-23 22:10:52+00:00,V017,ACC0053,DEV0005,SUCCESS,FAILED,NetworkVendor,CONTROL-ROOM,YES,NO,SUSPICIOUS,,0.24403988595279694,NORMAL,1
VPN-00334,2026-06-20 19:53:36+00:00,V010,ACC0004,DEV0007,FAILURE,YES,AutomationVendor,CRANE-ZONE,NO,NO,NORMAL,,0.24340830705617766,NORMAL,0
VPN-00169,2026-06-27 16:54:11+00:00,V004,ACC0042,DEV0083,SUCCESS,YES,MaintenanceVendor,YARD-C,NO,NO,NORMAL,,0.24041606029860116,NORMAL,0
VPN-01057,2026-06-11 19:56:47+00:00,V015,ACC0059,DEV0017,SUCCESS,YES,AutomationVendor,YARD-B,NO,NO,NORMAL,,0.23922667998206995,NORMAL,0
VPN-01570,2026-06-19 00:24:29+00:00,V014,ACC0052,DEV0003,SUCCESS,FAILED,MaintenanceVendor,YARD-C,YES,NO,NORMAL,,0.23322404409667433,NORMAL,0
VPN-00060,2026-06-23 14:14:39+00:00,V013,ACC0005,DEV0009,FAILURE,YES,YardVendor,CRANE-ZONE,NO,NO,NORMAL,,0.22997852729569446,NORMAL,0
VPN-01275,2026-06-25 19:42:39+00:00,V005,ACC0029,DEV0057,FAILURE,FAILED,AutomationVendor,GATE-A,NO,NO,NORMAL,,0.2299503635624183,NORMAL,0
VPN-01337,2026-06-11 11:54:47+00:00,V007,ACC0023,DEV0045,FAILURE,FAILED,NetworkVendor,GATE-B,NO,NO,NORMAL,,0.22730846301206634,NORMAL,0
VPN-00330,2026-06-18 14:28:30+00:00,V006,ACC0036,DEV0071,SUCCESS,FAILED,CraneVendor,YARD-C,NO,NO,NORMAL,,0.2244292792110276,NORMAL,0
VPN-00219,2026-06-24 03:50:12+00:00,V001,ACC0001,DEV0001,FAILURE,YES,CraneVendor,YARD-B,YES,NO,NORMAL,,0.2225001662382205,NORMAL,0
VPN-01460,2026-06-18 16:09:46+00:00,V005,ACC0009,DEV0017,SUCCESS,FAILED,AutomationVendor,YARD-C,NO,NO,NORMAL,,0.21925958077222613,NORMAL,0
VPN-00180,2026-06-27 20:04:18+00:00,V012,ACC0038,DEV0075,SUCCESS,FAILED,NetworkVendor,YARD-B,YES,NO,NORMAL,,0.20875485963754986,NORMAL,0
VPN-01642,2026-06-04 09:24:11+00:00,V002,ACC0048,DEV0095,FAILURE,YES,NetworkVendor,OT-ZONE,NO,NO,NORMAL,,0.20437196635933128,NORMAL,0
VPN-01211,2026-06-06 22:41:10+00:00,V018,ACC0060,DEV0019,SUCCESS,FAILED,YardVendor,OT-ZONE,YES,NO,NORMAL,,0.20392521786682372,NORMAL,0
VPN-00092,2026-06-25 18:56:08+00:00,V014,ACC0012,DEV0023,FAILURE,YES,MaintenanceVendor,YARD-B,NO,NO,NORMAL,,0.20117629902309592,NORMAL,0
VPN-01579,2026-06-04 09:49:20+00:00,V003,ACC0035,DEV0069,SUCCESS,FAILED,YardVendor,YARD-A,NO,NO,NORMAL,,0.2008388994887305,NORMAL,0
VPN-01696,2026-06-13 20:54:01+00:00,V001,ACC0001,DEV0001,SUCCESS,FAILED,CraneVendor,YARD-A,YES,NO,NORMAL,,0.18777631805089973,NORMAL,0
VPN-01305,2026-06-29 19:16:51+00:00,V008,ACC0030,DEV0059,SUCCESS,FAILED,YardVendor,GATE-B,NO,NO,NORMAL,,0.18624304781031786,NORMAL,0
VPN-01243,2026-06-06 06:01:57+00:00,V003,ACC0055,DEV0009,SUCCESS,FAILED,YardVendor,OT-ZONE,NO,NO,NORMAL,,0.18031936596116524,NORMAL,0
VPN-00099,2026-06-26 01:42:54+00:00,V012,ACC0018,DEV0035,SUCCESS,YES,NetworkVendor,YARD-C,YES,NO,NORMAL,,0.16647636840856583,NORMAL,0
VPN-00125,2026-06-01 22:04:36+00:00,V014,ACC0032,DEV0063,SUCCESS,FAILED,MaintenanceVendor,YARD-A,YES,NO,NORMAL,,0.16538989194562798,NORMAL,0
VPN-01735,2026-06-30 14:30:35+00:00,V016,ACC0026,DEV0051,SUCCESS,FAILED,CraneVendor,CRANE-ZONE,NO,NO,NORMAL,,0.1634280312979076,NORMAL,0
VPN-00983,2026-06-08 17:00:02+00:00,V003,ACC0015,DEV0029,SUCCESS,FAILED,YardVendor,GATE-B,NO,NO,NORMAL,,0.15954185094041648,NORMAL,0
VPN-01722,2026-06-04 08:49:02+00:00,V016,ACC0006,DEV0011,SUCCESS,FAILED,CraneVendor,GATE-B,NO,NO,NORMAL,,0.15719277037924417,NORMAL,0
VPN-00784,2026-06-20 18:10:26+00:00,V019,ACC0027,DEV0053,SUCCESS,FAILED,MaintenanceVendor,GATE-A,NO,NO,SUSPICIOUS,,0.15286215997774,NORMAL,1
VPN-00720,2026-06-17 20:13:20+00:00,V012,ACC0058,DEV0015,SUCCESS,FAILED,NetworkVendor,GATE-A,YES,NO,NORMAL,,0.14910991299710094,NORMAL,0
VPN-01230,2026-06-29 15:28:39+00:00,V012,ACC0038,DEV0075,SUCCESS,FAILED,NetworkVendor,YARD-A,NO,NO,NORMAL,,0.1356584042074071,NORMAL,0
VPN-00520,2026-06-01 03:52:07+00:00,V017,ACC0013,DEV0025,SUCCESS,YES,NetworkVendor,YARD-C,YES,NO,NORMAL,,0.12199503202974317,NORMAL,0
VPN-00190,2026-06-06 19:04:47+00:00,V011,ACC0011,DEV0021,FAILURE,YES,CraneVendor,OT-ZONE,NO,NO,NORMAL,,0.11904563410401901,NORMAL,0
VPN-00080,2026-06-22 13:51:01+00:00,V008,ACC0050,DEV0099,SUCCESS,FAILED,YardVendor,CRANE-ZONE,NO,NO,NORMAL,,0.11508184078287499,NORMAL,0
VPN-01311,2026-06-11 12:12:21+00:00,V016,ACC0026,DEV0051,FAILURE,YES,CraneVendor,GATE-A,NO,NO,NORMAL,,0.1108659295315763,NORMAL,0
VPN-01793,2026-06-22 05:34:07+00:00,V004,ACC0022,DEV0043,SUCCESS,YES,MaintenanceVendor,YARD-B,YES,NO,NORMAL,,0.10493016156496016,NORMAL,0
VPN-01493,2026-06-19 02:14:50+00:00,V007,ACC0023,DEV0045,SUCCESS,YES,NetworkVendor,GATE-A,YES,NO,NORMAL,,0.10429589924317094,NORMAL,0
VPN-00052,2026-06-16 09:38:52+00:00,V004,ACC0042,DEV0083,SUCCESS,FAILED,MaintenanceVendor,YARD-A,NO,NO,NORMAL,,0.10072146895272421,NORMAL,0
VPN-00497,2026-06-13 03:12:19+00:00,V003,ACC0015,DEV0029,SUCCESS,YES,YardVendor,YARD-C,YES,NO,NORMAL,,0.09423291018371821,NORMAL,0
VPN-00643,2026-06-21 14:55:12+00:00,V009,ACC0017,DEV0033,SUCCESS,FAILED,MaintenanceVendor,GATE-B,NO,NO,NORMAL,,0.08336663393703411,NORMAL,0
VPN-00950,2026-06-19 20:40:46+00:00,V011,ACC0031,DEV0061,SUCCESS,YES,CraneVendor,GATE-A,YES,NO,NORMAL,,0.08299336345424581,NORMAL,0
VPN-00882,2026-06-21 20:02:34+00:00,V017,ACC0013,DEV0025,SUCCESS,YES,NetworkVendor,GATE-B,YES,NO,NORMAL,,0.08068399113082722,NORMAL,0
VPN-01422,2026-06-06 02:37:02+00:00,V007,ACC0023,DEV0045,SUCCESS,YES,NetworkVendor,YARD-C,YES,NO,NORMAL,,0.08067387453560233,NORMAL,0
VPN-01710,2026-06-19 04:00:52+00:00,V017,ACC0013,DEV0025,SUCCESS,YES,NetworkVendor,YARD-B,YES,NO,NORMAL,,0.07220658365678496,NORMAL,0
VPN-01004,2026-06-06 03:27:00+00:00,V008,ACC0050,DEV0099,SUCCESS,YES,YardVendor,YARD-C,YES,NO,NORMAL,,0.07190142264390759,NORMAL,0
VPN-00654,2026-06-08 20:53:55+00:00,V004,ACC0022,DEV0043,SUCCESS,YES,MaintenanceVendor,YARD-A,YES,NO,NORMAL,,0.07108408089399822,NORMAL,0
VPN-00719,2026-06-15 00:29:22+00:00,V003,ACC0035,DEV0069,SUCCESS,YES,YardVendor,GATE-B,YES,NO,NORMAL,,0.07054833979364081,NORMAL,0
VPN-01724,2026-06-23 00:50:38+00:00,V020,ACC0014,DEV0027,SUCCESS,YES,AutomationVendor,GATE-A,YES,NO,NORMAL,,0.06806265053563422,NORMAL,0
VPN-01246,2026-06-23 20:16:57+00:00,V014,ACC0012,DEV0023,SUCCESS,YES,MaintenanceVendor,YARD-C,YES,NO,NORMAL,,0.06775712032715075,NORMAL,0
VPN-01358,2026-06-04 00:12:01+00:00,V010,ACC0024,DEV0047,SUCCESS,YES,AutomationVendor,CONTROL-ROOM,YES,NO,NORMAL,,0.06774379150493264,NORMAL,0
VPN-01784,2026-06-19 00:06:20+00:00,V001,ACC0021,DEV0041,SUCCESS,YES,CraneVendor,CONTROL-ROOM,YES,NO,NORMAL,,0.06613959379492872,NORMAL,0
VPN-01707,2026-06-28 20:26:37+00:00,V001,ACC0021,DEV0041,SUCCESS,YES,CraneVendor,YARD-A,YES,NO,NORMAL,,0.06592520197620758,NORMAL,0
VPN-00044,2026-06-26 05:49:18+00:00,V006,ACC0016,DEV0031,SUCCESS,YES,CraneVendor,YARD-C,YES,NO,NORMAL,,0.06381726082439142,NORMAL,0
VPN-01178,2026-06-18 02:40:16+00:00,V016,ACC0006,DEV0011,SUCCESS,YES,CraneVendor,YARD-C,YES,NO,NORMAL,,0.06304018445079741,NORMAL,0
VPN-00368,2026-06-21 16:20:20+00:00,V018,ACC0020,DEV0039,SUCCESS,YES,YardVendor,OT-ZONE,NO,NO,NORMAL,,0.06242843482565564,NORMAL,0
VPN-00761,2026-06-15 02:10:07+00:00,V017,ACC0013,DEV0025,SUCCESS,YES,NetworkVendor,YARD-B,YES,NO,NORMAL,,0.06236432549239801,NORMAL,0
VPN-01321,2026-06-13 04:17:38+00:00,V018,ACC0060,DEV0019,SUCCESS,YES,YardVendor,CONTROL-ROOM,YES,NO,NORMAL,,0.061528890664534805,NORMAL,0
VPN-00667,2026-06-07 00:20:14+00:00,V007,ACC0023,DEV0045,SUCCESS,YES,NetworkVendor,CRANE-ZONE,YES,NO,NORMAL,,0.061140810606592405,NORMAL,0
VPN-01047,2026-06-21 21:13:11+00:00,V003,ACC0055,DEV0009,SUCCESS,YES,YardVendor,OT-ZONE,YES,NO,NORMAL,,0.06047243217641693,NORMAL,0
VPN-00831,2026-06-14 20:45:16+00:00,V002,ACC0048,DEV0095,SUCCESS,YES,NetworkVendor,YARD-B,YES,NO,NORMAL,,0.06004262769494221,NORMAL,0
VPN-00840,2026-06-17 05:49:43+00:00,V007,ACC0043,DEV0085,SUCCESS,YES,NetworkVendor,YARD-C,YES,NO,NORMAL,,0.05965337864234799,NORMAL,0
VPN-01054,2026-06-14 20:27:52+00:00,V008,ACC0030,DEV0059,SUCCESS,YES,YardVendor,YARD-C,YES,NO,NORMAL,,0.059283260501978734,NORMAL,0
VPN-00737,2026-06-04 16:06:30+00:00,V007,ACC0023,DEV0045,SUCCESS,YES,NetworkVendor,GATE-A,NO,NO,NORMAL,,0.05746817881508697,NORMAL,0
VPN-01561,2026-06-03 05:30:12+00:00,V011,ACC0031,DEV0061,SUCCESS,YES,CraneVendor,OT-ZONE,YES,NO,NORMAL,,0.0571299871256299,NORMAL,0
VPN-00117,2026-06-16 09:09:34+00:00,V018,ACC0020,DEV0039,SUCCESS,YES,YardVendor,CONTROL-ROOM,NO,NO,NORMAL,,0.05645333344752134,NORMAL,0
VPN-00452,2026-06-26 03:20:23+00:00,V001,ACC0021,DEV0041,SUCCESS,YES,CraneVendor,OT-ZONE,YES,NO,NORMAL,,0.05617175991263479,NORMAL,0
VPN-00152,2026-06-09 04:08:57+00:00,V012,ACC0018,DEV0035,SUCCESS,YES,NetworkVendor,CONTROL-ROOM,YES,NO,NORMAL,,0.05427909555719371,NORMAL,0
VPN-01732,2026-06-27 11:52:43+00:00,V018,ACC0020,DEV0039,SUCCESS,YES,YardVendor,OT-ZONE,NO,NO,NORMAL,,0.05427894234566097,NORMAL,0
VPN-00700,2026-06-02 05:51:44+00:00,V007,ACC0023,DEV0045,SUCCESS,YES,NetworkVendor,YARD-B,YES,NO,NORMAL,,0.0542585682330378,NORMAL,0
VPN-00194,2026-06-16 02:19:48+00:00,V004,ACC0022,DEV0043,SUCCESS,YES,MaintenanceVendor,GATE-A,YES,NO,NORMAL,,0.05169614388830441,NORMAL,0
VPN-00475,2026-06-21 20:41:56+00:00,V006,ACC0056,DEV0011,SUCCESS,YES,CraneVendor,CRANE-ZONE,YES,NO,NORMAL,,0.05110310074347485,NORMAL,0
VPN-01530,2026-06-12 01:22:53+00:00,V001,ACC0001,DEV0001,SUCCESS,YES,CraneVendor,OT-ZONE,YES,NO,NORMAL,,0.05055082264532933,NORMAL,0
VPN-01535,2026-06-04 08:32:14+00:00,V003,ACC0035,DEV0069,SUCCESS,YES,YardVendor,YARD-B,NO,NO,NORMAL,,0.050137082503237555,NORMAL,0
VPN-00615,2026-06-13 02:26:33+00:00,V001,ACC0021,DEV0041,SUCCESS,YES,CraneVendor,GATE-A,YES,NO,NORMAL,,0.04991662283466603,NORMAL,0
VPN-00423,2026-06-13 00:01:36+00:00,V011,ACC0051,DEV0001,SUCCESS,YES,CraneVendor,YARD-A,YES,NO,NORMAL,,0.04954823546385443,NORMAL,0
VPN-01499,2026-06-12 03:06:28+00:00,V002,ACC0048,DEV0095,SUCCESS,YES,NetworkVendor,YARD-C,YES,NO,NORMAL,,0.04812626608491506,NORMAL,0
VPN-01053,2026-06-06 02:45:43+00:00,V013,ACC0025,DEV0049,SUCCESS,YES,YardVendor,YARD-C,YES,NO,NORMAL,,0.04746386145489354,NORMAL,0
VPN-01163,2026-06-07 23:46:22+00:00,V016,ACC0046,DEV0091,SUCCESS,YES,CraneVendor,YARD-A,YES,NO,NORMAL,,0.047401061465733474,NORMAL,0
VPN-01136,2026-06-05 05:30:17+00:00,V008,ACC0050,DEV0099,SUCCESS,YES,YardVendor,CRANE-ZONE,YES,NO,NORMAL,,0.04720907080602883,NORMAL,0
VPN-00017,2026-06-14 21:59:43+00:00,V006,ACC0056,DEV0011,SUCCESS,YES,CraneVendor,GATE-A,YES,NO,NORMAL,,0.047079986788411174,NORMAL,0
VPN-00912,2026-06-03 23:43:52+00:00,V006,ACC0016,DEV0031,SUCCESS,YES,CraneVendor,GATE-A,YES,NO,NORMAL,,0.046685947132693,NORMAL,0
VPN-01709,2026-06-09 08:25:55+00:00,V016,ACC0046,DEV0091,SUCCESS,YES,CraneVendor,YARD-A,NO,NO,NORMAL,,0.04575447365865206,NORMAL,0
VPN-01362,2026-06-11 20:40:40+00:00,V006,ACC0056,DEV0011,SUCCESS,YES,CraneVendor,YARD-C,YES,NO,NORMAL,,0.044865314753381534,NORMAL,0
VPN-01100,2026-06-12 03:34:58+00:00,V003,ACC0055,DEV0009,SUCCESS,YES,YardVendor,GATE-B,YES,NO,NORMAL,,0.044370359281870955,NORMAL,0
VPN-00530,2026-06-05 17:53:54+00:00,V018,ACC0020,DEV0039,SUCCESS,YES,YardVendor,OT-ZONE,NO,NO,NORMAL,,0.04434726728384619,NORMAL,0
VPN-00119,2026-06-03 18:44:51+00:00,V004,ACC0022,DEV0043,SUCCESS,YES,MaintenanceVendor,YARD-C,NO,NO,NORMAL,,0.04396747119569519,NORMAL,0
VPN-01346,2026-06-13 01:33:50+00:00,V003,ACC0015,DEV0029,SUCCESS,YES,YardVendor,CONTROL-ROOM,YES,NO,NORMAL,,0.043722956054172965,NORMAL,0
VPN-00865,2026-06-17 03:17:32+00:00,V004,ACC0042,DEV0083,SUCCESS,YES,MaintenanceVendor,GATE-A,YES,NO,NORMAL,,0.04303190312218288,NORMAL,0
VPN-01624,2026-06-18 01:59:09+00:00,V013,ACC0005,DEV0009,SUCCESS,YES,YardVendor,OT-ZONE,YES,NO,NORMAL,,0.043005120886183384,NORMAL,0
VPN-00378,2026-06-11 02:50:41+00:00,V006,ACC0016,DEV0031,SUCCESS,YES,CraneVendor,CRANE-ZONE,YES,NO,NORMAL,,0.041905017715855364,NORMAL,0
VPN-00083,2026-06-11 23:28:26+00:00,V014,ACC0032,DEV0063,SUCCESS,YES,MaintenanceVendor,OT-ZONE,YES,NO,NORMAL,,0.041847248804960005,NORMAL,0
VPN-01045,2026-06-02 03:04:02+00:00,V003,ACC0055,DEV0009,SUCCESS,YES,YardVendor,GATE-B,YES,NO,NORMAL,,0.04152707762191416,NORMAL,0
VPN-01001,2026-06-12 02:57:18+00:00,V018,ACC0020,DEV0039,SUCCESS,YES,YardVendor,YARD-A,YES,NO,NORMAL,,0.04140446685365201,NORMAL,0
VPN-00459,2026-06-02 00:34:13+00:00,V006,ACC0056,DEV0011,SUCCESS,YES,CraneVendor,GATE-A,YES,NO,NORMAL,,0.04129292115910491,NORMAL,0
VPN-00114,2026-06-11 03:13:09+00:00,V014,ACC0032,DEV0063,SUCCESS,YES,MaintenanceVendor,YARD-A,YES,NO,NORMAL,,0.041151797061801915,NORMAL,0
VPN-00502,2026-06-20 07:34:10+00:00,V020,ACC0034,DEV0067,SUCCESS,YES,AutomationVendor,YARD-A,NO,NO,NORMAL,,0.0410682870864768,NORMAL,0
VPN-00822,2026-06-04 20:21:23+00:00,V003,ACC0015,DEV0029,SUCCESS,YES,YardVendor,GATE-A,YES,NO,NORMAL,,0.04101187565464992,NORMAL,0
VPN-01067,2026-06-13 04:40:28+00:00,V014,ACC0012,DEV0023,SUCCESS,YES,MaintenanceVendor,YARD-A,YES,NO,NORMAL,,0.04090098767081388,NORMAL,0
VPN-00736,2026-06-19 03:36:12+00:00,V011,ACC0011,DEV0021,SUCCESS,YES,CraneVendor,GATE-A,YES,NO,NORMAL,,0.04022441036764902,NORMAL,0
VPN-01307,2026-06-04 03:54:02+00:00,V017,ACC0053,DEV0005,SUCCESS,YES,NetworkVendor,YARD-C,YES,NO,NORMAL,,0.039894590128495284,NORMAL,0
VPN-01734,2026-06-03 22:38:49+00:00,V006,ACC0056,DEV0011,SUCCESS,YES,CraneVendor,OT-ZONE,YES,NO,NORMAL,,0.03913425867955728,NORMAL,0
