event_id,timestamp,container_id,yard_zone,gate_event,cargo_status,manifest_change,action,destination_code,event_label,incident_id
CARGO-00048,2026-06-03T03:30:44Z,CONT-001769,YARD-B,GATE_OUT,RECEIVED,NO,MANIFEST_REVIEW,DST-C,NORMAL,
CARGO-00049,2026-06-05T16:19:31Z,CONT-006355,YARD-B,GATE_OUT,HOLD,NO,MANIFEST_REVIEW,DST-D,NORMAL,
CARGO-00050,2026-06-24T08:28:03Z,CONT-002077,YARD-C,GATE_IN,IN_YARD,NO,MANIFEST_REVIEW,DST-A,NORMAL,
CARGO-00051,2026-06-21T14:16:05Z,CONT-003337,YARD-C,GATE_OUT,HOLD,NO,MANIFEST_REVIEW,DST-B,NORMAL,
CARGO-00052,2026-06-23T14:30:21Z,CONT-004583,YARD-C,GATE_OUT,CLEARED,NO,LOAD,DST-D,NORMAL,
CARGO-00053,2026-06-23T11:57:40Z,CONT-001758,YARD-C,GATE_OUT,CLEARED,YES,MANIFEST_CHANGE,DST-D,NORMAL,
CARGO-00054,2026-06-30T21:57:46Z,CONT-002824,YARD-A,NONE,IN_YARD,NO,GATE_IN,DST-C,NORMAL,
CARGO-00055,2026-06-17T14:08:38Z,CONT-004568,YARD-A,GATE_IN,CLEARED,NO,YARD_MOVE,DST-B,NORMAL,
CARGO-00056,2026-06-03T07:24:32Z,CONT-008122,YARD-C,GATE_OUT,LOADED,NO,GATE_OUT,DST-B,NORMAL,
CARGO-00057,2026-06-21T12:32:30Z,CONT-000567,YARD-B,GATE_OUT,HOLD,NO,LOAD,DST-C,NORMAL,
CARGO-00058,2026-06-22T08:57:00Z,CONT-007179,YARD-A,GATE_IN,HOLD,NO,GATE_IN,DST-C,NORMAL,
CARGO-00059,2026-06-13T01:40:30Z,CONT-000144,YARD-A,GATE_OUT,IN_YARD,NO,YARD_MOVE,DST-C,NORMAL,
CARGO-00060,2026-06-17T09:28:15Z,CONT-007316,YARD-A,GATE_IN,LOADED,NO,YARD_MOVE,DST-D,NORMAL,
CARGO-00061,2026-06-09T22:48:50Z,CONT-008047,YARD-B,GATE_OUT,LOADED,NO,LOAD,DST-D,NORMAL,
CARGO-00062,2026-06-01T00:21:43Z,CONT-001684,YARD-A,NONE,RECEIVED,YES,MANIFEST_CHANGE,DST-D,NORMAL,
CARGO-00063,2026-06-10T07:09:41Z,CONT-002011,YARD-B,NONE,LOADED,NO,UNLOAD,DST-B,NORMAL,
CARGO-00064,2026-06-15T16:30:43Z,CONT-001496,YARD-C,GATE_OUT,LOADED,NO,GATE_OUT,DST-B,NORMAL,
CARGO-00065,2026-06-29T17:49:39Z,CONT-002076,YARD-B,NONE,LOADED,YES,MANIFEST_CHANGE,DST-A,NORMAL,
CARGO-00066,2026-06-21T17:59:04Z,CONT-000927,YARD-B,NONE,RECEIVED,YES,MANIFEST_CHANGE,DST-B,NORMAL,
CARGO-00067,2026-06-14T18:12:09Z,CONT-008516,YARD-A,GATE_OUT,CLEARED,NO,LOAD,DST-D,NORMAL,
CARGO-00068,2026-06-05T11:25:07Z,CONT-006912,YARD-C,GATE_IN,CLEARED,NO,MANIFEST_REVIEW,DST-D,NORMAL,
CARGO-00069,2026-06-01T12:20:32Z,CONT-008972,YARD-B,NONE,LOADED,NO,GATE_IN,DST-D,NORMAL,
CARGO-00070,2026-06-23T04:46:16Z,CONT-008105,YARD-B,GATE_IN,HOLD,NO,YARD_MOVE,DST-A,NORMAL,
CARGO-00071,2026-06-08T12:44:50Z,CONT-004053,YARD-A,GATE_OUT,RECEIVED,NO,MANIFEST_REVIEW,DST-A,NORMAL,
CARGO-00072,2026-06-13T06:14:19Z,CONT-006807,YARD-A,GATE_IN,RECEIVED,YES,MANIFEST_CHANGE,DST-C,NORMAL,
CARGO-00073,2026-06-03T00:04:44Z,CONT-004052,YARD-A,GATE_OUT,IN_YARD,NO,GATE_IN,DST-D,NORMAL,
CARGO-00074,2026-06-13T09:02:10Z,CONT-004766,YARD-B,GATE_OUT,RECEIVED,NO,GATE_IN,DST-D,NORMAL,
CARGO-00075,2026-06-21T17:23:59Z,CONT-006497,YARD-A,NONE,HOLD,NO,GATE_OUT,DST-C,NORMAL,
CARGO-00076,2026-06-03T17:02:41Z,CONT-003530,YARD-A,NONE,HOLD,NO,GATE_IN,DST-A,NORMAL,
CARGO-00077,2026-06-12T15:14:47Z,CONT-004999,YARD-A,NONE,CLEARED,NO,YARD_MOVE,DST-D,NORMAL,
CARGO-00078,2026-06-14T13:00:19Z,CONT-002014,YARD-B,GATE_OUT,LOADED,NO,UNLOAD,DST-A,NORMAL,
CARGO-00079,2026-06-08T18:02:10Z,CONT-002936,YARD-B,GATE_OUT,RECEIVED,NO,MANIFEST_REVIEW,DST-B,NORMAL,
CARGO-00080,2026-06-29T05:54:28Z,CONT-007170,YARD-C,NONE,LOADED,NO,GATE_IN,DST-D,NORMAL,
CARGO-00081,2026-06-30T01:38:37Z,CONT-006315,YARD-A,NONE,CLEARED,NO,GATE_IN,DST-B,NORMAL,
CARGO-00082,2026-06-11T14:34:41Z,CONT-007152,YARD-B,GATE_OUT,RECEIVED,NO,LOAD,DST-B,NORMAL,
CARGO-00083,2026-06-29T08:58:49Z,CONT-008939,YARD-C,NONE,LOADED,YES,MANIFEST_CHANGE,DST-C,NORMAL,
CARGO-00084,2026-06-07T15:56:52Z,CONT-004651,YARD-C,GATE_OUT,LOADED,NO,LOAD,DST-D,NORMAL,
CARGO-00085,2026-06-22T20:05:36Z,CONT-002129,YARD-A,GATE_IN,IN_YARD,NO,LOAD,DST-D,NORMAL,
CARGO-00086,2026-06-27T02:02:56Z,CONT-006033,YARD-C,NONE,IN_YARD,YES,MANIFEST_CHANGE,DST-C,NORMAL,
CARGO-00087,2026-06-10T09:24:53Z,CONT-006051,YARD-A,GATE_OUT,IN_YARD,YES,MANIFEST_CHANGE,DST-B,NORMAL,
CARGO-00088,2026-06-21T06:38:14Z,CONT-006986,YARD-C,NONE,LOADED,NO,UNLOAD,DST-B,NORMAL,
CARGO-00089,2026-06-12T00:43:12Z,CONT-001349,YARD-A,GATE_IN,IN_YARD,YES,MANIFEST_CHANGE,DST-B,NORMAL,
CARGO-00090,2026-06-06T23:46:09Z,CONT-002875,YARD-B,GATE_OUT,HOLD,NO,UNLOAD,DST-C,NORMAL,
CARGO-00091,2026-06-29T05:48:01Z,CONT-004797,YARD-A,GATE_OUT,RECEIVED,NO,MANIFEST_REVIEW,DST-D,NORMAL,
CARGO-00092,2026-06-18T06:45:54Z,CONT-001906,YARD-B,GATE_IN,CLEARED,NO,GATE_IN,DST-B,NORMAL,
CARGO-00093,2026-06-03T16:25:10Z,CONT-004994,YARD-A,NONE,CLEARED,NO,GATE_IN,DST-B,NORMAL,
CARGO-00094,2026-06-28T03:57:40Z,CONT-001745,YARD-C,GATE_OUT,RECEIVED,NO,LOAD,DST-B,NORMAL,
CARGO-00095,2026-06-07T22:14:37Z,CONT-003030,YARD-A,GATE_IN,RECEIVED,NO,MANIFEST_REVIEW,DST-D,NORMAL,
CARGO-00096,2026-06-06T12:44:32Z,CONT-007946,YARD-A,GATE_IN,CLEARED,NO,MANIFEST_REVIEW,DST-B,NORMAL,
CARGO-00097,2026-06-12T06:06:54Z,CONT-003632,YARD-B,NONE,RECEIVED,NO,LOAD,DST-B,NORMAL,
CARGO-00098,2026-06-07T15:33:54Z,CONT-008436,YARD-A,NONE,IN_YARD,NO,LOAD,DST-D,NORMAL,
CARGO-00099,2026-06-21T06:07:33Z,CONT-007463,YARD-B,GATE_IN,HOLD,NO,LOAD,DST-C,NORMAL,
CARGO-00100,2026-06-17T00:28:41Z,CONT-001620,YARD-C,NONE,RECEIVED,YES,MANIFEST_CHANGE,DST-D,NORMAL,
CARGO-00101,2026-06-17T02:30:35Z,CONT-005121,YARD-C,NONE,CLEARED,YES,MANIFEST_CHANGE,DST-A,NORMAL,
CARGO-00102,2026-06-25T05:50:36Z,CONT-001877,YARD-B,GATE_OUT,LOADED,NO,GATE_OUT,DST-B,NORMAL,
CARGO-00103,2026-06-29T20:04:22Z,CONT-001716,YARD-B,NONE,RECEIVED,NO,LOAD,DST-A,NORMAL,
CARGO-00104,2026-06-12T06:12:20Z,CONT-000177,YARD-A,NONE,IN_YARD,NO,MANIFEST_REVIEW,DST-C,NORMAL,
CARGO-00105,2026-06-05T04:06:21Z,CONT-008775,YARD-B,GATE_OUT,RECEIVED,NO,YARD_MOVE,DST-B,NORMAL,
CARGO-00106,2026-06-09T15:18:42Z,CONT-006122,YARD-A,NONE,LOADED,NO,UNLOAD,DST-C,NORMAL,
CARGO-00107,2026-06-24T14:51:21Z,CONT-001150,YARD-C,NONE,LOADED,NO,GATE_OUT,DST-A,NORMAL,
CARGO-00108,2026-06-04T02:10:11Z,CONT-008442,YARD-B,GATE_OUT,LOADED,NO,LOAD,DST-A,NORMAL,
CARGO-00109,2026-06-20T08:35:43Z,CONT-005872,YARD-A,GATE_IN,CLEARED,NO,YARD_MOVE,DST-D,NORMAL,
CARGO-00110,2026-06-22T00:21:42Z,CONT-002610,YARD-A,NONE,HOLD,NO,GATE_IN,DST-A,NORMAL,
CARGO-00111,2026-06-06T11:52:53Z,CONT-002981,YARD-B,NONE,CLEARED,NO,GATE_OUT,DST-A,NORMAL,
CARGO-00112,2026-06-12T16:58:36Z,CONT-000104,YARD-A,GATE_IN,RECEIVED,NO,GATE_IN,DST-C,NORMAL,
CARGO-00113,2026-06-25T18:23:14Z,CONT-001408,YARD-C,NONE,IN_YARD,YES,MANIFEST_CHANGE,DST-C,SUSPICIOUS,
CARGO-00114,2026-06-21T05:49:23Z,CONT-006298,YARD-B,GATE_IN,IN_YARD,YES,MANIFEST_CHANGE,DST-B,SUSPICIOUS,
CARGO-00115,2026-06-28T17:39:17Z,CONT-004062,YARD-B,NONE,CLEARED,NO,MANIFEST_REVIEW,DST-B,NORMAL,
CARGO-00116,2026-06-11T06:52:05Z,CONT-002813,YARD-A,GATE_OUT,IN_YARD,NO,LOAD,DST-C,NORMAL,
CARGO-00117,2026-06-15T09:51:45Z,CONT-002871,YARD-C,GATE_OUT,IN_YARD,NO,YARD_MOVE,DST-A,NORMAL,
CARGO-00118,2026-06-21T05:22:28Z,CONT-005766,YARD-A,NONE,LOADED,NO,GATE_IN,DST-D,NORMAL,
CARGO-00119,2026-06-02T07:40:14Z,CONT-001681,YARD-B,NONE,CLEARED,NO,MANIFEST_REVIEW,DST-B,NORMAL,
CARGO-00120,2026-06-18T02:42:18Z,CONT-002163,YARD-B,NONE,HOLD,NO,UNLOAD,DST-A,NORMAL,
CARGO-00121,2026-06-04T16:40:04Z,CONT-006846,YARD-C,NONE,IN_YARD,NO,LOAD,DST-B,NORMAL,
CARGO-00122,2026-06-25T07:42:53Z,CONT-007026,YARD-C,NONE,IN_YARD,NO,LOAD,DST-D,NORMAL,
CARGO-00123,2026-06-12T17:35:37Z,CONT-003574,YARD-A,NONE,RECEIVED,YES,MANIFEST_CHANGE,DST-A,NORMAL,
CARGO-00124,2026-06-26T07:15:14Z,CONT-007913,YARD-A,GATE_OUT,CLEARED,NO,MANIFEST_REVIEW,DST-A,NORMAL,
CARGO-00125,2026-06-24T23:08:23Z,CONT-003850,YARD-A,GATE_OUT,LOADED,NO,GATE_IN,DST-B,NORMAL,
CARGO-00126,2026-06-16T06:36:09Z,CONT-000793,YARD-B,GATE_IN,RECEIVED,NO,UNLOAD,DST-A,NORMAL,
CARGO-00127,2026-06-10T14:21:22Z,CONT-003725,YARD-A,GATE_OUT,HOLD,NO,UNLOAD,DST-B,NORMAL,
CARGO-00128,2026-06-25T23:44:48Z,CONT-000978,YARD-A,NONE,CLEARED,NO,MANIFEST_REVIEW,DST-D,NORMAL,
CARGO-00129,2026-06-13T08:50:18Z,CONT-000386,YARD-A,NONE,IN_YARD,YES,MANIFEST_CHANGE,DST-A,SUSPICIOUS,
CARGO-00130,2026-06-10T13:11:21Z,CONT-000508,YARD-B,NONE,RECEIVED,YES,MANIFEST_CHANGE,DST-B,SUSPICIOUS,
CARGO-00131,2026-06-27T12:50:37Z,CONT-005470,YARD-B,GATE_OUT,IN_YARD,NO,MANIFEST_REVIEW,DST-D,NORMAL,
CARGO-00132,2026-06-23T03:46:59Z,CONT-000747,YARD-C,GATE_OUT,HOLD,NO,GATE_OUT,DST-A,NORMAL,
CARGO-00133,2026-06-27T03:51:06Z,CONT-003516,YARD-B,GATE_IN,CLEARED,YES,MANIFEST_CHANGE,DST-D,NORMAL,
CARGO-00134,2026-06-02T13:54:47Z,CONT-002580,YARD-C,GATE_OUT,CLEARED,NO,LOAD,DST-A,NORMAL,
CARGO-00135,2026-06-24T23:49:09Z,CONT-006508,YARD-B,GATE_IN,LOADED,YES,MANIFEST_CHANGE,DST-A,SUSPICIOUS,
CARGO-00136,2026-06-23T12:00:34Z,CONT-005167,YARD-B,NONE,CLEARED,NO,YARD_MOVE,DST-D,NORMAL,
CARGO-00137,2026-06-13T21:29:55Z,CONT-005503,YARD-B,NONE,CLEARED,YES,MANIFEST_CHANGE,DST-D,NORMAL,
CARGO-00138,2026-06-15T01:39:45Z,CONT-000607,YARD-C,GATE_OUT,HOLD,NO,GATE_OUT,DST-D,NORMAL,
CARGO-00139,2026-06-12T19:33:26Z,CONT-004724,YARD-A,GATE_OUT,RECEIVED,YES,MANIFEST_CHANGE,DST-D,SUSPICIOUS,
CARGO-00140,2026-06-10T22:56:07Z,CONT-005293,YARD-A,GATE_OUT,LOADED,NO,GATE_IN,DST-D,NORMAL,
CARGO-00141,2026-06-18T12:50:13Z,CONT-000588,YARD-C,GATE_OUT,HOLD,NO,MANIFEST_REVIEW,DST-C,NORMAL,
CARGO-00142,2026-06-25T22:07:26Z,CONT-006731,YARD-B,NONE,CLEARED,NO,UNLOAD,DST-B,NORMAL,
CARGO-00143,2026-06-01T21:39:28Z,CONT-000314,YARD-C,GATE_IN,RECEIVED,NO,GATE_OUT,DST-D,NORMAL,
CARGO-00144,2026-06-21T19:32:03Z,CONT-001024,YARD-B,GATE_OUT,IN_YARD,NO,YARD_MOVE,DST-D,NORMAL,
CARGO-00145,2026-06-16T20:43:53Z,CONT-006739,YARD-C,NONE,LOADED,NO,LOAD,DST-D,NORMAL,
CARGO-00146,2026-06-15T02:21:14Z,CONT-000728,YARD-B,GATE_IN,HOLD,NO,YARD_MOVE,DST-A,NORMAL,
CARGO-00147,2026-06-06T15:09:21Z,CONT-005222,YARD-A,GATE_IN,HOLD,NO,GATE_IN,DST-C,NORMAL,
CARGO-00148,2026-06-07T16:31:42Z,CONT-008459,YARD-C,GATE_IN,CLEARED,YES,MANIFEST_CHANGE,DST-B,NORMAL,
CARGO-00149,2026-06-12T04:45:27Z,CONT-001286,YARD-B,NONE,HOLD,NO,MANIFEST_REVIEW,DST-D,NORMAL,
CARGO-00150,2026-06-21T10:07:58Z,CONT-005998,YARD-B,NONE,IN_YARD,YES,MANIFEST_CHANGE,DST-D,NORMAL,
CARGO-00151,2026-06-21T08:20:31Z,CONT-000091,YARD-B,NONE,RECEIVED,NO,LOAD,DST-C,NORMAL,
CARGO-00152,2026-06-28T13:15:26Z,CONT-007461,YARD-A,GATE_IN,LOADED,YES,MANIFEST_CHANGE,DST-A,SUSPICIOUS,
CARGO-00153,2026-06-01T11:02:16Z,CONT-000335,YARD-B,GATE_OUT,CLEARED,YES,MANIFEST_CHANGE,DST-D,NORMAL,
CARGO-00154,2026-06-11T16:48:57Z,CONT-007377,YARD-C,NONE,HOLD,YES,MANIFEST_CHANGE,DST-A,NORMAL,
CARGO-00155,2026-06-09T02:31:32Z,CONT-002094,YARD-B,NONE,CLEARED,NO,LOAD,DST-B,NORMAL,
CARGO-00156,2026-06-02T07:14:38Z,CONT-007704,YARD-A,GATE_OUT,LOADED,NO,GATE_OUT,DST-A,NORMAL,
CARGO-00157,2026-06-28T08:45:16Z,CONT-008062,YARD-A,GATE_OUT,CLEARED,NO,GATE_IN,DST-D,NORMAL,
CARGO-00158,2026-06-04T07:01:19Z,CONT-005740,YARD-A,GATE_IN,HOLD,NO,LOAD,DST-B,NORMAL,
CARGO-00159,2026-06-29T03:16:09Z,CONT-008642,YARD-B,GATE_IN,RECEIVED,NO,UNLOAD,DST-A,NORMAL,
CARGO-00160,2026-06-22T00:56:34Z,CONT-002995,YARD-C,GATE_OUT,RECEIVED,NO,GATE_IN,DST-C,NORMAL,
CARGO-00161,2026-06-21T09:25:28Z,CONT-002757,YARD-A,GATE_OUT,IN_YARD,YES,MANIFEST_CHANGE,DST-D,NORMAL,
CARGO-00162,2026-06-28T03:36:55Z,CONT-007891,YARD-C,NONE,RECEIVED,YES,MANIFEST_CHANGE,DST-C,NORMAL,
CARGO-00163,2026-06-21T02:10:42Z,CONT-004477,YARD-C,GATE_IN,RECEIVED,NO,MANIFEST_REVIEW,DST-C,NORMAL,
CARGO-00164,2026-06-16T11:23:15Z,CONT-003632,YARD-C,GATE_OUT,RECEIVED,NO,LOAD,DST-A,NORMAL,
CARGO-00165,2026-06-03T03:34:17Z,CONT-003994,YARD-C,GATE_OUT,CLEARED,NO,GATE_OUT,DST-D,NORMAL,
CARGO-00166,2026-06-15T07:52:37Z,CONT-008068,YARD-B,GATE_OUT,IN_YARD,NO,GATE_OUT,DST-C,NORMAL,
CARGO-00167,2026-06-10T08:22:05Z,CONT-006335,YARD-A,NONE,HOLD,NO,GATE_IN,DST-C,NORMAL,
CARGO-00168,2026-06-11T18:45:08Z,CONT-006714,YARD-B,NONE,CLEARED,NO,GATE_IN,DST-C,NORMAL,
CARGO-00169,2026-06-04T04:28:28Z,CONT-006605,YARD-A,NONE,LOADED,NO,UNLOAD,DST-C,NORMAL,
CARGO-00170,2026-06-08T22:44:33Z,CONT-003237,YARD-A,GATE_OUT,LOADED,NO,MANIFEST_REVIEW,DST-A,NORMAL,
CARGO-00171,2026-06-15T08:36:18Z,CONT-008089,YARD-B,GATE_OUT,LOADED,YES,MANIFEST_CHANGE,DST-D,NORMAL,
CARGO-00172,2026-06-01T03:49:20Z,CONT-008614,YARD-A,GATE_OUT,RECEIVED,NO,UNLOAD,DST-A,NORMAL,
CARGO-00173,2026-06-30T21:46:03Z,CONT-003834,YARD-B,NONE,IN_YARD,NO,YARD_MOVE,DST-A,NORMAL,
CARGO-00174,2026-06-25T00:57:37Z,CONT-008512,YARD-A,NONE,IN_YARD,YES,MANIFEST_CHANGE,DST-D,SUSPICIOUS,
CARGO-00175,2026-06-03T01:56:15Z,CONT-000679,YARD-A,GATE_IN,HOLD,YES,MANIFEST_CHANGE,DST-B,NORMAL,
CARGO-00176,2026-06-14T04:51:38Z,CONT-007489,YARD-C,GATE_IN,LOADED,NO,YARD_MOVE,DST-C,NORMAL,
CARGO-00177,2026-06-28T02:09:48Z,CONT-005270,YARD-A,NONE,LOADED,NO,MANIFEST_REVIEW,DST-B,NORMAL,
CARGO-00178,2026-06-14T03:21:56Z,CONT-007233,YARD-A,NONE,HOLD,NO,LOAD,DST-C,NORMAL,
CARGO-00179,2026-06-17T06:07:37Z,CONT-008523,YARD-A,GATE_IN,IN_YARD,NO,MANIFEST_REVIEW,DST-B,NORMAL,
CARGO-00180,2026-06-24T10:48:53Z,CONT-008055,YARD-B,GATE_IN,CLEARED,NO,UNLOAD,DST-B,NORMAL,
CARGO-00181,2026-06-16T15:31:46Z,CONT-000703,YARD-C,NONE,IN_YARD,NO,YARD_MOVE,DST-B,NORMAL,
CARGO-00182,2026-06-20T07:04:07Z,CONT-005491,YARD-B,NONE,CLEARED,NO,GATE_IN,DST-C,NORMAL,
CARGO-00183,2026-06-08T21:00:13Z,CONT-008720,YARD-B,NONE,IN_YARD,NO,LOAD,DST-B,NORMAL,
CARGO-00184,2026-06-30T09:14:04Z,CONT-008813,YARD-C,GATE_IN,IN_YARD,NO,YARD_MOVE,DST-A,NORMAL,
CARGO-00185,2026-06-13T02:04:40Z,CONT-006586,YARD-A,GATE_IN,IN_YARD,YES,MANIFEST_CHANGE,DST-B,NORMAL,
CARGO-00186,2026-06-14T06:30:30Z,CONT-000597,YARD-C,GATE_OUT,IN_YARD,NO,UNLOAD,DST-B,NORMAL,
CARGO-00187,2026-06-22T15:57:27Z,CONT-002949,YARD-C,GATE_IN,IN_YARD,NO,LOAD,DST-C,NORMAL,
CARGO-00188,2026-06-25T23:04:07Z,CONT-003139,YARD-B,GATE_OUT,HOLD,NO,LOAD,DST-C,NORMAL,
CARGO-00189,2026-06-03T11:17:19Z,CONT-000033,YARD-A,GATE_IN,HOLD,NO,YARD_MOVE,DST-C,NORMAL,
CARGO-00190,2026-06-02T14:30:27Z,CONT-003920,YARD-C,NONE,HOLD,NO,GATE_OUT,DST-A,NORMAL,
