event_id,timestamp,asset_id,command_type,alarm_code,process_state,operator_id,severity,command_sequence_valid,event_label,incident_id
OT-00053,2026-06-24T22:58:42Z,YARD-08,MOVE_RIGHT,NONE,NORMAL,OP013,LOW,YES,NORMAL,
OT-00054,2026-06-03T01:49:02Z,CRANE05,STATUS_READ,NONE,IDLE,OP028,LOW,YES,NORMAL,
OT-00055,2026-06-03T09:42:54Z,PLC06,STOP,NONE,NORMAL,OP011,LOW,YES,NORMAL,
OT-00056,2026-06-30T00:16:02Z,CRANE01,STOP,NONE,IDLE,OP001,LOW,YES,NORMAL,
OT-00057,2026-06-09T02:53:02Z,CRANE07,HOIST_UP,ALM-107,RUNNING,OP007,MEDIUM,YES,NORMAL,
OT-00058,2026-06-06T21:17:32Z,CRANE02,MOVE_LEFT,NONE,IDLE,OP031,LOW,YES,NORMAL,
OT-00059,2026-06-19T03:36:27Z,CRANE06,SPEED_SET,NONE,NORMAL,OP022,LOW,YES,NORMAL,
OT-00060,2026-06-04T00:56:55Z,PLC05,HOIST_UP,NONE,IDLE,OP010,LOW,YES,NORMAL,
OT-00061,2026-06-15T13:58:07Z,CRANE07,HOIST_DOWN,NONE,IDLE,OP011,LOW,YES,NORMAL,
OT-00062,2026-06-19T06:33:09Z,YARD-02,SPEED_SET,NONE,RUNNING,OP015,LOW,YES,NORMAL,
OT-00063,2026-06-26T22:21:44Z,CRANE07,MOVE_LEFT,NONE,RUNNING,OP038,LOW,YES,NORMAL,
OT-00064,2026-06-09T16:12:10Z,PLC12,STOP,NONE,IDLE,OP005,LOW,YES,NORMAL,
OT-00065,2026-06-24T17:45:10Z,YARD-03,SPEED_SET,NONE,IDLE,OP032,LOW,YES,NORMAL,
OT-00066,2026-06-25T12:37:51Z,YARD-02,STATUS_READ,NONE,NORMAL,OP020,LOW,YES,NORMAL,
OT-00067,2026-06-11T21:22:52Z,PLC01,IDLE,NONE,IDLE,OP033,LOW,YES,NORMAL,
OT-00068,2026-06-01T08:27:54Z,YARD-02,MOVE_LEFT,NONE,IDLE,OP005,LOW,YES,NORMAL,
OT-00069,2026-06-11T15:26:57Z,CRANE07,STATUS_READ,NONE,RUNNING,OP010,LOW,YES,NORMAL,
OT-00070,2026-06-09T21:18:53Z,PLC06,MOVE_RIGHT,NONE,RUNNING,OP013,LOW,YES,NORMAL,
OT-00071,2026-06-20T18:28:58Z,CRANE03,SPEED_SET,NONE,IDLE,OP039,LOW,YES,NORMAL,
OT-00072,2026-06-12T01:51:29Z,YARD-07,MOVE_LEFT,NONE,NORMAL,OP022,LOW,YES,NORMAL,
OT-00073,2026-06-17T07:17:08Z,CRANE04,PLC_MODE_CHANGE,ALM-418,DEGRADED,OP040,CRITICAL,NO,SUSPICIOUS,
OT-00074,2026-06-06T06:43:53Z,CRANE06,STATUS_READ,NONE,IDLE,OP028,LOW,YES,NORMAL,
OT-00075,2026-06-30T21:25:54Z,PLC09,STATUS_READ,NONE,RUNNING,OP038,LOW,YES,NORMAL,
OT-00076,2026-06-15T14:59:04Z,PLC08,HOIST_UP,NONE,NORMAL,OP033,LOW,YES,NORMAL,
OT-00077,2026-06-13T19:43:21Z,PLC09,STATUS_READ,NONE,RUNNING,OP026,LOW,YES,NORMAL,
OT-00078,2026-06-09T22:05:49Z,CRANE08,STOP,NONE,IDLE,OP018,LOW,YES,NORMAL,
OT-00079,2026-06-02T19:38:00Z,YARD-05,IDLE,NONE,IDLE,OP034,LOW,YES,NORMAL,
OT-00080,2026-06-12T20:22:41Z,PLC10,STATUS_READ,NONE,NORMAL,OP015,LOW,YES,NORMAL,
OT-00081,2026-06-28T14:02:42Z,PLC12,MOVE_LEFT,NONE,RUNNING,OP030,LOW,YES,NORMAL,
OT-00082,2026-06-21T18:39:37Z,CRANE05,MOVE_RIGHT,NONE,IDLE,OP027,LOW,YES,NORMAL,
OT-00083,2026-06-30T01:20:30Z,PLC03,HOIST_UP,NONE,RUNNING,OP014,LOW,YES,NORMAL,
OT-00084,2026-06-13T08:07:54Z,PLC08,SPEED_SET,ALM-101,NORMAL,OP027,MEDIUM,YES,NORMAL,
OT-00085,2026-06-11T07:24:49Z,CRANE03,HOIST_DOWN,NONE,IDLE,OP039,LOW,YES,NORMAL,
OT-00086,2026-06-26T06:36:32Z,YARD-02,STATUS_READ,NONE,RUNNING,OP039,LOW,YES,NORMAL,
OT-00087,2026-06-10T00:53:02Z,CRANE06,STOP,NONE,IDLE,OP002,LOW,YES,NORMAL,
OT-00088,2026-06-19T01:50:03Z,CRANE04,MOVE_RIGHT,NONE,RUNNING,OP004,LOW,YES,NORMAL,
OT-00089,2026-06-10T15:23:35Z,PLC04,STATUS_READ,NONE,NORMAL,OP023,LOW,YES,NORMAL,
OT-00090,2026-06-05T16:35:47Z,PLC05,IDLE,NONE,NORMAL,OP039,LOW,YES,NORMAL,
OT-00091,2026-06-28T00:40:57Z,YARD-03,MOVE_RIGHT,NONE,NORMAL,OP007,LOW,YES,NORMAL,
OT-00092,2026-06-06T14:07:26Z,PLC11,IDLE,NONE,NORMAL,OP025,LOW,YES,NORMAL,
OT-00093,2026-06-23T13:49:36Z,CRANE01,HOIST_DOWN,NONE,NORMAL,OP024,LOW,YES,NORMAL,
OT-00094,2026-06-26T09:05:29Z,CRANE02,STOP,NONE,RUNNING,OP008,LOW,YES,NORMAL,
OT-00095,2026-06-09T03:07:34Z,CRANE08,STOP,NONE,NORMAL,OP007,LOW,YES,NORMAL,
OT-00096,2026-06-23T07:53:11Z,YARD-02,MOVE_LEFT,NONE,RUNNING,OP006,LOW,YES,NORMAL,
OT-00097,2026-06-10T11:35:57Z,YARD-02,STOP,NONE,NORMAL,OP035,LOW,YES,NORMAL,
OT-00098,2026-06-26T03:33:08Z,PLC06,STATUS_READ,NONE,IDLE,OP039,LOW,YES,NORMAL,
OT-00099,2026-06-15T06:16:54Z,CRANE03,IDLE,ALM-107,IDLE,OP009,MEDIUM,YES,NORMAL,
OT-00100,2026-06-08T18:05:02Z,CRANE04,MOVE_LEFT,NONE,IDLE,OP038,LOW,YES,NORMAL,
OT-00101,2026-06-11T03:38:07Z,YARD-03,STOP,ALM-101,RUNNING,OP003,MEDIUM,YES,NORMAL,
OT-00102,2026-06-03T20:15:15Z,YARD-01,IDLE,NONE,NORMAL,OP033,LOW,YES,NORMAL,
OT-00103,2026-06-05T02:13:57Z,YARD-06,MOVE_LEFT,NONE,IDLE,OP005,LOW,YES,NORMAL,
OT-00104,2026-06-06T14:02:24Z,PLC10,MOVE_RIGHT,NONE,NORMAL,OP003,LOW,YES,NORMAL,
OT-00105,2026-06-28T20:47:21Z,PLC05,SPEED_SET,NONE,NORMAL,OP035,LOW,YES,NORMAL,
OT-00106,2026-06-17T19:37:10Z,CRANE07,MOVE_LEFT,ALM-107,RUNNING,OP004,MEDIUM,YES,NORMAL,
OT-00107,2026-06-14T11:46:16Z,PLC09,STATUS_READ,ALM-101,IDLE,OP040,MEDIUM,YES,NORMAL,
OT-00108,2026-06-29T07:47:07Z,CRANE04,MOVE_LEFT,NONE,NORMAL,OP039,LOW,YES,NORMAL,
OT-00109,2026-06-09T22:58:00Z,CRANE02,HOIST_DOWN,NONE,RUNNING,OP025,LOW,YES,NORMAL,
OT-00110,2026-06-26T00:52:46Z,PLC02,SPEED_SET,NONE,RUNNING,OP033,LOW,YES,NORMAL,
OT-00111,2026-06-24T11:38:47Z,YARD-08,STATUS_READ,NONE,IDLE,OP022,LOW,YES,NORMAL,
OT-00112,2026-06-03T04:19:56Z,PLC08,MOVE_LEFT,NONE,RUNNING,OP001,LOW,YES,NORMAL,
OT-00113,2026-06-11T10:27:47Z,YARD-07,HOIST_DOWN,NONE,IDLE,OP018,LOW,YES,NORMAL,
OT-00114,2026-06-11T21:36:33Z,YARD-03,HOIST_UP,NONE,RUNNING,OP004,LOW,YES,NORMAL,
OT-00115,2026-06-09T14:06:40Z,CRANE04,OUT_OF_SEQUENCE,ALM-204,SAFE_STOP,OP028,HIGH,NO,SUSPICIOUS,
OT-00116,2026-06-24T13:25:07Z,YARD-04,SPEED_SET,NONE,NORMAL,OP034,LOW,YES,NORMAL,
OT-00117,2026-06-19T10:26:36Z,CRANE02,STATUS_READ,NONE,NORMAL,OP016,LOW,YES,NORMAL,
OT-00118,2026-06-11T13:53:08Z,CRANE04,MOVE_RIGHT,NONE,RUNNING,OP004,LOW,YES,NORMAL,
OT-00119,2026-06-13T04:29:37Z,YARD-06,MOVE_RIGHT,NONE,IDLE,OP021,LOW,YES,NORMAL,
OT-00120,2026-06-06T02:06:48Z,PLC07,MOVE_LEFT,NONE,IDLE,OP036,LOW,YES,NORMAL,
OT-00121,2026-06-07T05:42:21Z,PLC03,IDLE,NONE,RUNNING,OP015,LOW,YES,NORMAL,
OT-00122,2026-06-06T13:15:16Z,YARD-03,MOVE_LEFT,NONE,IDLE,OP034,LOW,YES,NORMAL,
OT-00123,2026-06-30T06:53:38Z,CRANE08,IDLE,NONE,RUNNING,OP014,LOW,YES,NORMAL,
OT-00124,2026-06-10T13:28:49Z,PLC04,STOP,NONE,IDLE,OP002,LOW,YES,NORMAL,
OT-00125,2026-06-15T14:00:38Z,YARD-07,STOP,NONE,IDLE,OP030,LOW,YES,NORMAL,
OT-00126,2026-06-14T23:58:22Z,YARD-07,MOVE_LEFT,ALM-107,IDLE,OP023,MEDIUM,YES,NORMAL,
OT-00127,2026-06-22T16:23:30Z,PLC07,IDLE,NONE,RUNNING,OP021,LOW,YES,NORMAL,
OT-00128,2026-06-16T12:40:00Z,PLC10,STATUS_READ,NONE,RUNNING,OP011,LOW,YES,NORMAL,
OT-00129,2026-06-30T19:19:13Z,CRANE02,SPEED_SET,NONE,RUNNING,OP014,LOW,YES,NORMAL,
OT-00130,2026-06-11T19:34:31Z,CRANE02,HOIST_UP,NONE,NORMAL,OP022,LOW,YES,NORMAL,
OT-00131,2026-06-08T02:22:29Z,PLC01,HOIST_DOWN,NONE,NORMAL,OP021,LOW,YES,NORMAL,
OT-00132,2026-06-29T16:57:09Z,PLC09,HOIST_DOWN,NONE,NORMAL,OP019,LOW,YES,NORMAL,
OT-00133,2026-06-14T04:50:54Z,CRANE02,SPEED_SET,NONE,RUNNING,OP011,LOW,YES,NORMAL,
OT-00134,2026-06-30T08:24:45Z,YARD-07,HOIST_DOWN,NONE,IDLE,OP036,LOW,YES,NORMAL,
OT-00135,2026-06-18T19:09:14Z,PLC08,MOVE_RIGHT,NONE,RUNNING,OP031,LOW,YES,NORMAL,
OT-00136,2026-06-19T15:16:21Z,PLC12,MOVE_RIGHT,NONE,IDLE,OP036,LOW,YES,NORMAL,
OT-00137,2026-06-13T14:38:09Z,PLC11,MOVE_LEFT,NONE,RUNNING,OP006,LOW,YES,NORMAL,
OT-00138,2026-06-24T14:06:52Z,PLC03,STOP,NONE,NORMAL,OP039,LOW,YES,NORMAL,
OT-00139,2026-06-15T22:49:18Z,CRANE08,STOP,NONE,RUNNING,OP039,LOW,YES,NORMAL,
OT-00140,2026-06-22T00:50:06Z,PLC04,STOP,NONE,IDLE,OP013,LOW,YES,NORMAL,
OT-00141,2026-06-20T09:27:23Z,PLC05,STOP,NONE,NORMAL,OP028,LOW,YES,NORMAL,
OT-00142,2026-06-30T04:51:56Z,PLC10,IDLE,NONE,NORMAL,OP008,LOW,YES,NORMAL,
OT-00143,2026-06-16T04:46:46Z,PLC04,HOIST_UP,NONE,NORMAL,OP034,LOW,YES,NORMAL,
OT-00144,2026-06-08T11:23:42Z,CRANE02,MOVE_RIGHT,NONE,RUNNING,OP013,LOW,YES,NORMAL,
OT-00145,2026-06-18T20:03:03Z,PLC06,IDLE,NONE,IDLE,OP030,LOW,YES,NORMAL,
OT-00146,2026-06-02T11:12:56Z,YARD-07,MOVE_LEFT,NONE,RUNNING,OP039,LOW,YES,NORMAL,
OT-00147,2026-06-09T05:10:21Z,PLC06,HOIST_DOWN,NONE,IDLE,OP025,LOW,YES,NORMAL,
OT-00148,2026-06-14T01:17:46Z,PLC11,SPEED_SET,NONE,NORMAL,OP009,LOW,YES,NORMAL,
OT-00149,2026-06-16T10:16:51Z,PLC02,MOVE_LEFT,NONE,IDLE,OP033,LOW,YES,NORMAL,
OT-00150,2026-06-24T19:46:49Z,YARD-05,SPEED_OVERRIDE,ALM-418,DEGRADED,OP018,CRITICAL,NO,SUSPICIOUS,INC-T21-004
OT-00151,2026-06-05T17:42:19Z,PLC08,MOVE_RIGHT,NONE,NORMAL,OP032,LOW,YES,NORMAL,
OT-00152,2026-06-04T23:42:08Z,YARD-04,HOIST_DOWN,NONE,NORMAL,OP005,LOW,YES,NORMAL,
OT-00153,2026-06-28T09:19:05Z,PLC06,HOIST_DOWN,NONE,RUNNING,OP020,LOW,YES,NORMAL,
OT-00154,2026-06-09T06:41:57Z,CRANE08,MOVE_RIGHT,NONE,IDLE,OP034,LOW,YES,NORMAL,
OT-00155,2026-06-06T22:01:21Z,PLC02,IDLE,ALM-107,IDLE,OP013,MEDIUM,YES,NORMAL,
OT-00156,2026-06-19T04:22:23Z,YARD-03,MOVE_LEFT,NONE,RUNNING,OP006,LOW,YES,NORMAL,
OT-00157,2026-06-16T02:10:41Z,PLC07,IDLE,NONE,NORMAL,OP031,LOW,YES,NORMAL,
OT-00158,2026-06-02T08:08:23Z,PLC11,OUT_OF_SEQUENCE,ALM-509,ABNORMAL,OP027,HIGH,NO,SUSPICIOUS,
OT-00159,2026-06-17T10:21:30Z,YARD-06,STOP,NONE,NORMAL,OP005,LOW,YES,NORMAL,
OT-00160,2026-06-23T14:37:34Z,CRANE01,IDLE,NONE,IDLE,OP012,LOW,YES,NORMAL,
OT-00161,2026-06-05T06:53:41Z,CRANE06,MOVE_RIGHT,NONE,RUNNING,OP012,LOW,YES,NORMAL,
OT-00162,2026-06-06T19:42:37Z,PLC02,SPEED_SET,NONE,NORMAL,OP015,LOW,YES,NORMAL,
OT-00163,2026-06-06T16:03:49Z,YARD-04,SPEED_SET,NONE,IDLE,OP021,LOW,YES,NORMAL,
OT-00164,2026-06-03T05:12:17Z,CRANE08,HOIST_DOWN,NONE,RUNNING,OP013,LOW,YES,NORMAL,
OT-00165,2026-06-25T08:00:55Z,CRANE07,STOP,NONE,NORMAL,OP027,LOW,YES,NORMAL,
OT-00166,2026-06-21T01:45:50Z,PLC05,HOIST_DOWN,NONE,RUNNING,OP038,LOW,YES,NORMAL,
OT-00167,2026-06-17T16:31:28Z,YARD-06,IDLE,NONE,RUNNING,OP035,LOW,YES,NORMAL,
OT-00168,2026-06-12T22:09:40Z,PLC04,MOVE_LEFT,NONE,RUNNING,OP008,LOW,YES,NORMAL,
OT-00169,2026-06-08T22:05:12Z,PLC09,MOVE_RIGHT,NONE,IDLE,OP031,LOW,YES,NORMAL,
OT-00170,2026-06-05T12:19:46Z,YARD-01,MOVE_RIGHT,NONE,RUNNING,OP034,LOW,YES,NORMAL,
OT-00171,2026-06-05T21:49:36Z,YARD-01,STATUS_READ,NONE,IDLE,OP026,LOW,YES,NORMAL,
OT-00172,2026-06-20T01:33:09Z,CRANE06,MOVE_LEFT,NONE,NORMAL,OP001,LOW,YES,NORMAL,
OT-00173,2026-06-23T02:42:21Z,PLC04,MOVE_RIGHT,NONE,RUNNING,OP029,LOW,YES,NORMAL,
OT-00174,2026-06-26T02:07:13Z,PLC09,IDLE,NONE,IDLE,OP037,LOW,YES,NORMAL,
OT-00175,2026-06-26T09:41:18Z,CRANE02,SPEED_SET,NONE,RUNNING,OP009,LOW,YES,NORMAL,
OT-00176,2026-06-30T07:19:31Z,CRANE07,STATUS_READ,NONE,RUNNING,OP033,LOW,YES,NORMAL,
OT-00177,2026-06-03T18:56:40Z,YARD-07,HOIST_DOWN,NONE,RUNNING,OP037,LOW,YES,NORMAL,
OT-00178,2026-06-12T08:38:25Z,YARD-06,STATUS_READ,NONE,RUNNING,OP006,LOW,YES,NORMAL,
OT-00179,2026-06-29T06:34:41Z,YARD-04,IDLE,NONE,RUNNING,OP020,LOW,YES,NORMAL,
OT-00180,2026-06-21T07:15:01Z,YARD-08,HOIST_DOWN,NONE,IDLE,OP007,LOW,YES,NORMAL,
OT-00181,2026-06-04T13:07:03Z,PLC10,EMERGENCY_STOP,ALM-204,ABNORMAL,OP021,CRITICAL,NO,SUSPICIOUS,
OT-00182,2026-06-13T05:00:23Z,PLC02,IDLE,NONE,RUNNING,OP040,LOW,YES,NORMAL,
OT-00183,2026-06-20T11:06:46Z,YARD-02,STATUS_READ,NONE,NORMAL,OP001,LOW,YES,NORMAL,
OT-00184,2026-06-30T11:07:19Z,CRANE04,SPEED_SET,NONE,NORMAL,OP018,LOW,YES,NORMAL,
OT-00185,2026-06-30T22:33:33Z,YARD-05,STATUS_READ,NONE,NORMAL,OP032,LOW,YES,NORMAL,
OT-00186,2026-06-05T02:31:57Z,CRANE03,STOP,ALM-101,RUNNING,OP025,MEDIUM,YES,NORMAL,
OT-00187,2026-06-14T13:03:38Z,CRANE05,STOP,ALM-107,RUNNING,OP023,MEDIUM,YES,NORMAL,
OT-00188,2026-06-03T06:44:39Z,PLC05,MOVE_RIGHT,NONE,IDLE,OP018,LOW,YES,NORMAL,
OT-00189,2026-06-05T07:34:24Z,PLC05,HOIST_UP,NONE,RUNNING,OP010,LOW,YES,NORMAL,
OT-00190,2026-06-23T00:51:30Z,CRANE02,IDLE,NONE,NORMAL,OP018,LOW,YES,NORMAL,
OT-00191,2026-06-09T17:01:51Z,PLC11,MOVE_LEFT,NONE,RUNNING,OP006,LOW,YES,NORMAL,
OT-00192,2026-06-28T13:45:21Z,PLC05,IDLE,NONE,RUNNING,OP025,LOW,YES,NORMAL,
OT-00193,2026-06-12T18:24:19Z,CRANE05,SPEED_SET,NONE,RUNNING,OP002,LOW,YES,NORMAL,
OT-00194,2026-06-07T02:21:06Z,YARD-07,SPEED_SET,NONE,IDLE,OP007,LOW,YES,NORMAL,
OT-00195,2026-06-22T18:43:23Z,PLC04,MOVE_RIGHT,NONE,NORMAL,OP010,LOW,YES,NORMAL,
OT-00196,2026-06-16T08:41:14Z,YARD-08,MOVE_LEFT,NONE,NORMAL,OP032,LOW,YES,NORMAL,
OT-00197,2026-06-19T06:09:12Z,PLC06,SPEED_SET,NONE,NORMAL,OP037,LOW,YES,NORMAL,
OT-00198,2026-06-02T22:20:45Z,PLC08,MOVE_RIGHT,NONE,RUNNING,OP014,LOW,YES,NORMAL,
OT-00199,2026-06-23T05:58:33Z,CRANE06,HOIST_DOWN,NONE,NORMAL,OP025,LOW,YES,NORMAL,
OT-00200,2026-06-02T05:13:25Z,YARD-03,HOIST_DOWN,NONE,IDLE,OP007,LOW,YES,NORMAL,
OT-00201,2026-06-23T01:42:59Z,PLC06,PLC_MODE_CHANGE,ALM-509,ABNORMAL,OP026,CRITICAL,NO,SUSPICIOUS,
OT-00202,2026-06-14T07:27:28Z,PLC04,IDLE,NONE,RUNNING,OP008,LOW,YES,NORMAL,
OT-00203,2026-06-17T03:34:09Z,YARD-02,STATUS_READ,NONE,IDLE,OP005,LOW,YES,NORMAL,
OT-00204,2026-06-03T13:01:30Z,CRANE03,STOP,NONE,IDLE,OP026,LOW,YES,NORMAL,
OT-00205,2026-06-07T00:48:24Z,PLC08,STATUS_READ,NONE,IDLE,OP002,LOW,YES,NORMAL,
OT-00206,2026-06-30T06:27:16Z,CRANE05,IDLE,NONE,IDLE,OP037,LOW,YES,NORMAL,
OT-00207,2026-06-25T15:52:39Z,YARD-08,IDLE,NONE,IDLE,OP039,LOW,YES,NORMAL,
OT-00208,2026-06-28T16:07:09Z,PLC11,STOP,NONE,NORMAL,OP034,LOW,YES,NORMAL,
OT-00209,2026-06-10T10:14:44Z,YARD-04,HOIST_UP,NONE,IDLE,OP026,LOW,YES,NORMAL,
OT-00210,2026-06-04T02:13:13Z,YARD-07,STATUS_READ,NONE,RUNNING,OP037,LOW,YES,NORMAL,
OT-00211,2026-06-30T15:24:42Z,CRANE02,STATUS_READ,NONE,IDLE,OP009,LOW,YES,NORMAL,
OT-00212,2026-06-04T19:18:46Z,YARD-06,SPEED_SET,NONE,RUNNING,OP039,LOW,YES,NORMAL,
OT-00213,2026-06-25T04:28:31Z,CRANE08,STOP,NONE,RUNNING,OP032,LOW,YES,NORMAL,
OT-00214,2026-06-10T05:48:24Z,PLC02,HOIST_DOWN,NONE,RUNNING,OP024,LOW,YES,NORMAL,
OT-00215,2026-06-28T00:52:37Z,PLC06,IDLE,NONE,IDLE,OP003,LOW,YES,NORMAL,
OT-00216,2026-06-12T20:26:51Z,CRANE02,HOIST_UP,NONE,NORMAL,OP020,LOW,YES,NORMAL,
OT-00217,2026-06-15T10:47:41Z,CRANE01,HOIST_DOWN,NONE,RUNNING,OP017,LOW,YES,NORMAL,
OT-00218,2026-06-08T19:09:23Z,YARD-04,STOP,NONE,IDLE,OP010,LOW,YES,NORMAL,
