event_id,timestamp,device_id,hostname,user_id,process_name,parent_process,alert_type,severity,event_label,incident_id
EDR-00020,2026-06-05T11:38:57Z,DEV0060,PORT-DEV0060,ACC0056,ssh,explorer.exe,SOFTWARE_UPDATE,LOW,NORMAL,
EDR-00021,2026-06-26T19:53:16Z,DEV0055,PORT-DEV0055,ACC0058,remote_admin_tool,yard_client,SOFTWARE_UPDATE,LOW,NORMAL,
EDR-00022,2026-06-08T18:01:28Z,DEV0041,PORT-DEV0041,ACC0031,browser,yard_client,NONE,LOW,NORMAL,
EDR-00023,2026-06-10T06:43:09Z,DEV0042,PORT-DEV0042,ACC0046,rdp,explorer.exe,LOGIN,LOW,NORMAL,
EDR-00024,2026-06-13T08:01:52Z,DEV0062,PORT-DEV0062,ACC0040,vendor_agent,services.exe,SERVICE_EVENT,LOW,NORMAL,
EDR-00025,2026-06-04T07:10:39Z,DEV0053,PORT-DEV0053,ACC0036,maintenance_client,yard_client,LOGIN,LOW,NORMAL,
EDR-00026,2026-06-30T01:24:30Z,DEV0076,PORT-DEV0076,ACC0032,rdp,services.exe,LOGIN,LOW,NORMAL,
EDR-00027,2026-06-01T03:39:20Z,DEV0089,PORT-DEV0089,ACC0001,plc_tool,services.exe,NONE,LOW,NORMAL,
EDR-00028,2026-06-27T13:55:55Z,DEV0029,PORT-DEV0029,ACC0052,rdp,services.exe,LOGIN,LOW,NORMAL,
EDR-00029,2026-06-25T08:18:23Z,DEV0088,PORT-DEV0088,ACC0007,vendor_agent,explorer.exe,SERVICE_EVENT,LOW,NORMAL,
EDR-00030,2026-06-18T00:09:39Z,DEV0031,PORT-DEV0031,ACC0056,powershell_sim,explorer.exe,NEW_REMOTE_TOOL,CRITICAL,SUSPICIOUS,
EDR-00031,2026-06-03T17:28:58Z,DEV0080,PORT-DEV0080,ACC0004,credential_helper_sim,explorer.exe,REMOTE_EXECUTION,HIGH,SUSPICIOUS,
EDR-00032,2026-06-26T18:53:39Z,DEV0012,PORT-DEV0012,ACC0057,vendor_agent,vendor_agent,SERVICE_EVENT,LOW,NORMAL,
EDR-00033,2026-06-11T21:45:28Z,DEV0044,PORT-DEV0044,ACC0011,rdp,yard_client,SOFTWARE_UPDATE,LOW,NORMAL,
EDR-00034,2026-06-11T22:51:20Z,DEV0095,PORT-DEV0095,ACC0038,ssh,services.exe,NONE,LOW,NORMAL,
EDR-00035,2026-06-03T22:24:01Z,DEV0047,PORT-DEV0047,ACC0043,remote_admin_tool,services.exe,SERVICE_EVENT,LOW,NORMAL,
EDR-00036,2026-06-09T19:20:35Z,DEV0029,PORT-DEV0029,ACC0044,plc_tool,vendor_agent,NONE,LOW,NORMAL,
EDR-00037,2026-06-25T22:56:46Z,DEV0032,PORT-DEV0032,ACC0001,yard_client,yard_client,NONE,LOW,NORMAL,
EDR-00038,2026-06-23T21:00:23Z,DEV0061,PORT-DEV0061,ACC0048,browser,yard_client,LOGIN,LOW,NORMAL,
EDR-00039,2026-06-03T12:40:55Z,DEV0093,PORT-DEV0093,ACC0022,maintenance_client,yard_client,NONE,LOW,NORMAL,
EDR-00040,2026-06-29T01:01:05Z,DEV0053,PORT-DEV0053,ACC0025,ssh,yard_client,NONE,LOW,NORMAL,
EDR-00041,2026-06-05T00:44:20Z,DEV0088,PORT-DEV0088,ACC0025,remote_admin_tool,services.exe,SERVICE_EVENT,LOW,NORMAL,
EDR-00042,2026-06-28T23:42:23Z,DEV0071,PORT-DEV0071,ACC0018,maintenance_client,yard_client,SOFTWARE_UPDATE,LOW,NORMAL,
EDR-00043,2026-06-01T07:58:18Z,DEV0013,PORT-DEV0013,ACC0037,maintenance_client,vendor_agent,NONE,LOW,NORMAL,
EDR-00044,2026-06-14T20:46:21Z,DEV0047,PORT-DEV0047,ACC0059,remote_admin_tool,explorer.exe,LOGIN,LOW,NORMAL,
EDR-00045,2026-06-26T21:01:09Z,DEV0036,PORT-DEV0036,ACC0016,remote_admin_tool,services.exe,SERVICE_EVENT,LOW,NORMAL,
EDR-00046,2026-06-06T16:15:52Z,DEV0090,PORT-DEV0090,ACC0008,powershell_sim,yard_client,NEW_REMOTE_TOOL,HIGH,SUSPICIOUS,
EDR-00047,2026-06-28T17:01:03Z,DEV0056,PORT-DEV0056,ACC0010,remote_admin_tool,vendor_agent,SOFTWARE_UPDATE,LOW,NORMAL,
EDR-00048,2026-06-22T03:56:24Z,DEV0083,PORT-DEV0083,ACC0050,browser,yard_client,SERVICE_EVENT,LOW,NORMAL,
EDR-00049,2026-06-17T18:59:29Z,DEV0026,PORT-DEV0026,ACC0021,plc_tool,yard_client,SOFTWARE_UPDATE,LOW,NORMAL,
EDR-00050,2026-06-22T05:33:34Z,DEV0075,PORT-DEV0075,ACC0016,rdp,yard_client,SERVICE_EVENT,LOW,NORMAL,
EDR-00051,2026-06-05T18:37:58Z,DEV0090,PORT-DEV0090,ACC0006,ssh,yard_client,NONE,LOW,NORMAL,
EDR-00052,2026-06-19T16:58:56Z,DEV0063,PORT-DEV0063,ACC0023,remote_admin_tool,explorer.exe,UNUSUAL_PARENT_PROCESS,CRITICAL,SUSPICIOUS,
EDR-00053,2026-06-05T22:49:00Z,DEV0099,PORT-DEV0099,ACC0032,remote_admin_tool,vendor_agent,NEW_REMOTE_TOOL,HIGH,SUSPICIOUS,INC-T21-001
EDR-00054,2026-06-29T16:42:56Z,DEV0010,PORT-DEV0010,ACC0040,vendor_agent,vendor_agent,NONE,LOW,NORMAL,
EDR-00055,2026-06-10T18:30:46Z,DEV0030,PORT-DEV0030,ACC0023,browser,explorer.exe,LOGIN,LOW,NORMAL,
EDR-00056,2026-06-14T23:21:21Z,DEV0090,PORT-DEV0090,ACC0029,rdp,yard_client,LOGIN,LOW,NORMAL,
EDR-00057,2026-06-07T22:45:57Z,DEV0047,PORT-DEV0047,ACC0002,vendor_agent,vendor_agent,SOFTWARE_UPDATE,LOW,NORMAL,
EDR-00058,2026-06-27T19:39:27Z,DEV0094,PORT-DEV0094,ACC0008,sensor_service,services.exe,SERVICE_EVENT,LOW,NORMAL,
EDR-00059,2026-06-12T14:59:10Z,DEV0055,PORT-DEV0055,ACC0048,ssh,yard_client,SOFTWARE_UPDATE,LOW,NORMAL,
EDR-00060,2026-06-04T04:03:30Z,DEV0024,PORT-DEV0024,ACC0023,maintenance_client,explorer.exe,LOGIN,LOW,NORMAL,
EDR-00061,2026-06-17T21:08:06Z,DEV0018,PORT-DEV0018,ACC0037,browser,yard_client,NONE,LOW,NORMAL,
EDR-00062,2026-06-20T17:19:31Z,DEV0063,PORT-DEV0063,ACC0043,remote_admin_tool,vendor_agent,LOGIN,LOW,NORMAL,
EDR-00063,2026-06-10T03:06:21Z,DEV0053,PORT-DEV0053,ACC0028,credential_helper_sim,yard_client,NEW_REMOTE_TOOL,HIGH,SUSPICIOUS,
EDR-00064,2026-06-08T02:31:20Z,DEV0017,PORT-DEV0017,ACC0037,plc_tool,explorer.exe,LOGIN,LOW,NORMAL,
EDR-00065,2026-06-13T23:11:32Z,DEV0001,PORT-DEV0001,ACC0048,browser,yard_client,LOGIN,LOW,NORMAL,
EDR-00066,2026-06-21T17:30:57Z,DEV0057,PORT-DEV0057,ACC0017,yard_client,explorer.exe,SERVICE_EVENT,LOW,NORMAL,
EDR-00067,2026-06-12T03:39:06Z,DEV0039,PORT-DEV0039,ACC0049,vendor_agent,vendor_agent,NONE,LOW,NORMAL,
EDR-00068,2026-06-22T17:40:25Z,DEV0068,PORT-DEV0068,ACC0020,remote_admin_tool,services.exe,REMOTE_EXECUTION,CRITICAL,SUSPICIOUS,
EDR-00069,2026-06-23T23:38:13Z,DEV0070,PORT-DEV0070,ACC0009,yard_client,vendor_agent,SERVICE_EVENT,LOW,NORMAL,
EDR-00070,2026-06-04T01:28:14Z,DEV0082,PORT-DEV0082,ACC0013,remote_admin_tool,vendor_agent,NONE,LOW,NORMAL,
EDR-00071,2026-06-09T23:40:10Z,DEV0085,PORT-DEV0085,ACC0037,rdp,services.exe,NONE,LOW,NORMAL,
EDR-00072,2026-06-05T22:44:00Z,DEV0099,PORT-DEV0099,ACC0052,plc_tool,services.exe,SUSPICIOUS_PROCESS,CRITICAL,SUSPICIOUS,INC-T21-001
EDR-00073,2026-06-07T18:10:29Z,DEV0022,PORT-DEV0022,ACC0037,ssh,yard_client,SERVICE_EVENT,LOW,NORMAL,
EDR-00074,2026-06-01T11:10:10Z,DEV0036,PORT-DEV0036,ACC0058,maintenance_client,vendor_agent,LOGIN,LOW,NORMAL,
EDR-00075,2026-06-21T21:59:38Z,DEV0046,PORT-DEV0046,ACC0026,powershell_sim,yard_client,UNUSUAL_PARENT_PROCESS,CRITICAL,SUSPICIOUS,
EDR-00076,2026-06-04T13:35:29Z,DEV0089,PORT-DEV0089,ACC0022,plc_tool,explorer.exe,LOGIN,LOW,NORMAL,
EDR-00077,2026-06-23T03:59:04Z,DEV0086,PORT-DEV0086,ACC0028,plc_tool,services.exe,NONE,LOW,NORMAL,
EDR-00078,2026-06-09T23:46:17Z,DEV0073,PORT-DEV0073,ACC0009,sensor_service,vendor_agent,NONE,LOW,NORMAL,
EDR-00079,2026-06-30T09:15:55Z,DEV0020,PORT-DEV0020,ACC0025,sensor_service,services.exe,NONE,LOW,NORMAL,
EDR-00080,2026-06-02T04:10:03Z,DEV0024,PORT-DEV0024,ACC0051,browser,vendor_agent,SOFTWARE_UPDATE,LOW,NORMAL,
EDR-00081,2026-06-21T01:49:55Z,DEV0039,PORT-DEV0039,ACC0041,ssh,services.exe,NONE,LOW,NORMAL,
EDR-00082,2026-06-04T18:12:41Z,DEV0097,PORT-DEV0097,ACC0054,remote_admin_tool,vendor_agent,NEW_REMOTE_TOOL,MEDIUM,SUSPICIOUS,
EDR-00083,2026-06-30T09:59:07Z,DEV0050,PORT-DEV0050,ACC0032,plc_tool,services.exe,SOFTWARE_UPDATE,LOW,NORMAL,
EDR-00084,2026-06-07T03:10:12Z,DEV0092,PORT-DEV0092,ACC0050,maintenance_client,explorer.exe,SOFTWARE_UPDATE,LOW,NORMAL,
EDR-00085,2026-06-13T23:27:48Z,DEV0056,PORT-DEV0056,ACC0030,rdp,yard_client,LOGIN,LOW,NORMAL,
EDR-00086,2026-06-13T20:20:28Z,DEV0067,PORT-DEV0067,ACC0055,ssh,services.exe,NONE,LOW,NORMAL,
EDR-00087,2026-06-25T13:19:50Z,DEV0001,PORT-DEV0001,ACC0029,plc_tool,explorer.exe,LOGIN,LOW,NORMAL,
EDR-00088,2026-06-02T01:31:50Z,DEV0011,PORT-DEV0011,ACC0019,sensor_service,vendor_agent,SERVICE_EVENT,LOW,NORMAL,
EDR-00089,2026-06-19T00:20:49Z,DEV0074,PORT-DEV0074,ACC0029,yard_client,services.exe,SOFTWARE_UPDATE,LOW,NORMAL,
EDR-00090,2026-06-18T04:41:09Z,DEV0067,PORT-DEV0067,ACC0035,ssh,yard_client,LOGIN,LOW,NORMAL,
EDR-00091,2026-06-24T01:29:54Z,DEV0057,PORT-DEV0057,ACC0009,vendor_agent,explorer.exe,SERVICE_EVENT,LOW,NORMAL,
EDR-00092,2026-06-22T10:54:44Z,DEV0052,PORT-DEV0052,ACC0030,sensor_service,services.exe,NONE,LOW,NORMAL,
EDR-00093,2026-06-16T19:00:00Z,DEV0067,PORT-DEV0067,ACC0022,remote_admin_tool,yard_client,UNUSUAL_PARENT_PROCESS,HIGH,SUSPICIOUS,
EDR-00094,2026-06-10T02:02:18Z,DEV0042,PORT-DEV0042,ACC0003,yard_client,yard_client,NONE,LOW,NORMAL,
EDR-00095,2026-06-15T04:17:00Z,DEV0068,PORT-DEV0068,ACC0049,yard_client,yard_client,SERVICE_EVENT,LOW,NORMAL,
EDR-00096,2026-06-17T14:27:50Z,DEV0020,PORT-DEV0020,ACC0023,rdp,yard_client,SERVICE_EVENT,LOW,NORMAL,
EDR-00097,2026-06-26T17:52:21Z,DEV0084,PORT-DEV0084,ACC0007,plc_tool,explorer.exe,LOGIN,LOW,NORMAL,
EDR-00098,2026-06-11T06:52:12Z,DEV0029,PORT-DEV0029,ACC0045,rdp,services.exe,SERVICE_EVENT,LOW,NORMAL,
EDR-00099,2026-06-26T01:47:44Z,DEV0039,PORT-DEV0039,ACC0048,plc_tool,services.exe,SOFTWARE_UPDATE,LOW,NORMAL,
EDR-00100,2026-06-09T14:39:06Z,DEV0079,PORT-DEV0079,ACC0020,remote_admin_tool,explorer.exe,SOFTWARE_UPDATE,LOW,NORMAL,
EDR-00101,2026-06-09T18:06:22Z,DEV0096,PORT-DEV0096,ACC0037,maintenance_client,vendor_agent,SOFTWARE_UPDATE,LOW,NORMAL,
EDR-00102,2026-06-20T10:33:44Z,DEV0020,PORT-DEV0020,ACC0015,remote_admin_tool,vendor_agent,SOFTWARE_UPDATE,LOW,NORMAL,
EDR-00103,2026-06-09T03:37:16Z,DEV0051,PORT-DEV0051,ACC0014,vendor_agent,explorer.exe,NONE,LOW,NORMAL,
EDR-00104,2026-06-04T18:33:08Z,DEV0054,PORT-DEV0054,ACC0057,vendor_agent,vendor_agent,NONE,LOW,NORMAL,
EDR-00105,2026-06-22T12:00:50Z,DEV0070,PORT-DEV0070,ACC0053,remote_admin_tool,services.exe,SOFTWARE_UPDATE,LOW,NORMAL,
EDR-00106,2026-06-04T10:27:32Z,DEV0086,PORT-DEV0086,ACC0017,maintenance_client,explorer.exe,LOGIN,LOW,NORMAL,
EDR-00107,2026-06-11T10:38:23Z,DEV0099,PORT-DEV0099,ACC0015,sensor_service,yard_client,SERVICE_EVENT,LOW,NORMAL,
EDR-00108,2026-06-30T14:24:50Z,DEV0086,PORT-DEV0086,ACC0025,browser,yard_client,NONE,LOW,NORMAL,
EDR-00109,2026-06-20T00:14:53Z,DEV0015,PORT-DEV0015,ACC0043,rdp,yard_client,NONE,LOW,NORMAL,
EDR-00110,2026-06-05T22:43:00Z,DEV0099,PORT-DEV0099,ACC0035,powershell_sim,vendor_agent,NEW_REMOTE_TOOL,HIGH,SUSPICIOUS,INC-T21-001
EDR-00111,2026-06-02T21:50:06Z,DEV0039,PORT-DEV0039,ACC0030,vendor_agent,services.exe,SERVICE_EVENT,LOW,NORMAL,
EDR-00112,2026-06-30T08:12:00Z,DEV0031,PORT-DEV0031,ACC0034,remote_admin_tool,vendor_agent,LOGIN,LOW,NORMAL,
EDR-00113,2026-06-17T20:43:22Z,DEV0062,PORT-DEV0062,ACC0048,sensor_service,yard_client,NONE,LOW,NORMAL,
EDR-00114,2026-06-12T01:18:08Z,DEV0008,PORT-DEV0008,ACC0025,remote_admin_tool,yard_client,SOFTWARE_UPDATE,LOW,NORMAL,
EDR-00115,2026-06-12T03:42:18Z,DEV0099,PORT-DEV0099,ACC0045,ssh,services.exe,LOGIN,LOW,NORMAL,
EDR-00116,2026-06-16T15:38:47Z,DEV0003,PORT-DEV0003,ACC0020,sensor_service,yard_client,LOGIN,LOW,NORMAL,
EDR-00117,2026-06-16T01:08:11Z,DEV0007,PORT-DEV0007,ACC0030,remote_admin_tool,services.exe,SOFTWARE_UPDATE,LOW,NORMAL,
EDR-00118,2026-06-05T20:55:32Z,DEV0094,PORT-DEV0094,ACC0040,plc_tool,explorer.exe,LOGIN,LOW,NORMAL,
EDR-00119,2026-06-22T01:53:05Z,DEV0015,PORT-DEV0015,ACC0018,rdp,vendor_agent,SERVICE_EVENT,LOW,NORMAL,
EDR-00120,2026-06-10T20:53:54Z,DEV0051,PORT-DEV0051,ACC0016,yard_client,services.exe,NONE,LOW,NORMAL,
EDR-00121,2026-06-04T02:19:26Z,DEV0064,PORT-DEV0064,ACC0012,remote_admin_tool,explorer.exe,SERVICE_EVENT,LOW,NORMAL,
EDR-00122,2026-06-08T01:10:14Z,DEV0092,PORT-DEV0092,ACC0039,rdp,services.exe,LOGIN,LOW,NORMAL,
EDR-00123,2026-06-08T05:16:03Z,DEV0045,PORT-DEV0045,ACC0010,ssh,vendor_agent,SERVICE_EVENT,LOW,NORMAL,
EDR-00124,2026-06-17T08:06:28Z,DEV0063,PORT-DEV0063,ACC0046,plc_tool,yard_client,SERVICE_EVENT,LOW,NORMAL,
EDR-00125,2026-06-13T00:00:32Z,DEV0049,PORT-DEV0049,ACC0041,remote_admin_tool,explorer.exe,NONE,LOW,NORMAL,
EDR-00126,2026-06-26T12:01:34Z,DEV0096,PORT-DEV0096,ACC0018,remote_admin_tool,vendor_agent,SERVICE_EVENT,LOW,NORMAL,
EDR-00127,2026-06-20T18:54:06Z,DEV0070,PORT-DEV0070,ACC0036,maintenance_client,vendor_agent,SERVICE_EVENT,LOW,NORMAL,
EDR-00128,2026-06-18T21:30:07Z,DEV0094,PORT-DEV0094,ACC0040,sensor_service,services.exe,SERVICE_EVENT,LOW,NORMAL,
EDR-00129,2026-06-12T15:50:13Z,DEV0099,PORT-DEV0099,ACC0041,maintenance_client,explorer.exe,SOFTWARE_UPDATE,LOW,NORMAL,
EDR-00130,2026-06-28T17:00:22Z,DEV0018,PORT-DEV0018,ACC0003,rdp,yard_client,NONE,LOW,NORMAL,
EDR-00131,2026-06-23T11:09:22Z,DEV0052,PORT-DEV0052,ACC0019,sensor_service,services.exe,SERVICE_EVENT,LOW,NORMAL,
EDR-00132,2026-06-30T09:07:07Z,DEV0090,PORT-DEV0090,ACC0053,ssh,explorer.exe,SERVICE_EVENT,LOW,NORMAL,
EDR-00133,2026-06-04T08:56:24Z,DEV0065,PORT-DEV0065,ACC0019,plc_tool,yard_client,NONE,LOW,NORMAL,
EDR-00134,2026-06-21T14:53:08Z,DEV0015,PORT-DEV0015,ACC0021,rdp,services.exe,LOGIN,LOW,NORMAL,
EDR-00135,2026-06-12T01:16:00Z,DEV0062,PORT-DEV0062,ACC0052,credential_helper_sim,explorer.exe,NEW_REMOTE_TOOL,HIGH,SUSPICIOUS,INC-T21-002
EDR-00136,2026-06-18T02:05:12Z,DEV0013,PORT-DEV0013,ACC0037,credential_helper_sim,yard_client,UNUSUAL_PARENT_PROCESS,HIGH,SUSPICIOUS,
EDR-00137,2026-06-24T02:00:04Z,DEV0084,PORT-DEV0084,ACC0036,plc_tool,yard_client,SOFTWARE_UPDATE,LOW,NORMAL,
EDR-00138,2026-06-07T04:08:33Z,DEV0055,PORT-DEV0055,ACC0009,browser,yard_client,LOGIN,LOW,NORMAL,
EDR-00139,2026-06-03T23:05:42Z,DEV0031,PORT-DEV0031,ACC0053,browser,yard_client,LOGIN,LOW,NORMAL,
EDR-00140,2026-06-26T15:21:19Z,DEV0051,PORT-DEV0051,ACC0027,browser,explorer.exe,NONE,LOW,NORMAL,
EDR-00141,2026-06-29T03:17:04Z,DEV0018,PORT-DEV0018,ACC0008,remote_admin_tool,vendor_agent,LOGIN,LOW,NORMAL,
EDR-00142,2026-06-26T20:51:19Z,DEV0042,PORT-DEV0042,ACC0021,vendor_agent,services.exe,SERVICE_EVENT,LOW,NORMAL,
EDR-00143,2026-06-29T10:08:19Z,DEV0005,PORT-DEV0005,ACC0030,plc_tool,yard_client,LOGIN,LOW,NORMAL,
EDR-00144,2026-06-24T13:14:21Z,DEV0043,PORT-DEV0043,ACC0034,maintenance_client,explorer.exe,SOFTWARE_UPDATE,LOW,NORMAL,
EDR-00145,2026-06-08T18:18:14Z,DEV0010,PORT-DEV0010,ACC0024,vendor_agent,services.exe,LOGIN,LOW,NORMAL,
EDR-00146,2026-06-13T23:09:19Z,DEV0009,PORT-DEV0009,ACC0044,maintenance_client,vendor_agent,SOFTWARE_UPDATE,LOW,NORMAL,
EDR-00147,2026-06-02T22:03:50Z,DEV0041,PORT-DEV0041,ACC0019,ssh,yard_client,SERVICE_EVENT,LOW,NORMAL,
EDR-00148,2026-06-21T23:28:12Z,DEV0066,PORT-DEV0066,ACC0020,sensor_service,yard_client,NONE,LOW,NORMAL,
EDR-00149,2026-06-27T17:58:33Z,DEV0050,PORT-DEV0050,ACC0039,remote_admin_tool,services.exe,LOGIN,LOW,NORMAL,
EDR-00150,2026-06-07T00:16:04Z,DEV0096,PORT-DEV0096,ACC0026,vendor_agent,services.exe,NONE,LOW,NORMAL,
EDR-00151,2026-06-27T01:23:53Z,DEV0023,PORT-DEV0023,ACC0022,remote_admin_tool,services.exe,LOGIN,LOW,NORMAL,
EDR-00152,2026-06-21T11:02:39Z,DEV0093,PORT-DEV0093,ACC0022,maintenance_client,yard_client,NONE,LOW,NORMAL,
EDR-00153,2026-06-02T12:05:30Z,DEV0012,PORT-DEV0012,ACC0036,sensor_service,services.exe,SERVICE_EVENT,LOW,NORMAL,
EDR-00154,2026-06-14T01:47:39Z,DEV0057,PORT-DEV0057,ACC0001,vendor_agent,yard_client,NONE,LOW,NORMAL,
EDR-00155,2026-06-12T01:28:00Z,DEV0062,PORT-DEV0062,ACC0029,powershell_sim,services.exe,UNUSUAL_PARENT_PROCESS,CRITICAL,SUSPICIOUS,INC-T21-002
EDR-00156,2026-06-23T04:18:28Z,DEV0054,PORT-DEV0054,ACC0036,ssh,explorer.exe,LOGIN,LOW,NORMAL,
EDR-00157,2026-06-27T10:30:21Z,DEV0050,PORT-DEV0050,ACC0031,ssh,yard_client,NONE,LOW,NORMAL,
EDR-00158,2026-06-10T20:35:50Z,DEV0038,PORT-DEV0038,ACC0005,plc_tool,yard_client,SOFTWARE_UPDATE,LOW,NORMAL,
EDR-00159,2026-06-27T10:44:15Z,DEV0037,PORT-DEV0037,ACC0015,remote_admin_tool,vendor_agent,SERVICE_EVENT,LOW,NORMAL,
EDR-00160,2026-06-06T06:38:13Z,DEV0086,PORT-DEV0086,ACC0038,rdp,yard_client,SOFTWARE_UPDATE,LOW,NORMAL,
EDR-00161,2026-06-16T09:32:17Z,DEV0031,PORT-DEV0031,ACC0051,rdp,explorer.exe,SOFTWARE_UPDATE,LOW,NORMAL,
EDR-00162,2026-06-30T23:54:07Z,DEV0038,PORT-DEV0038,ACC0054,plc_tool,explorer.exe,NONE,LOW,NORMAL,
EDR-00163,2026-06-30T04:30:20Z,DEV0070,PORT-DEV0070,ACC0059,remote_admin_tool,explorer.exe,SOFTWARE_UPDATE,LOW,NORMAL,
EDR-00164,2026-06-23T19:04:48Z,DEV0060,PORT-DEV0060,ACC0023,browser,vendor_agent,SOFTWARE_UPDATE,LOW,NORMAL,
EDR-00165,2026-06-10T01:27:59Z,DEV0018,PORT-DEV0018,ACC0036,browser,explorer.exe,SOFTWARE_UPDATE,LOW,NORMAL,
EDR-00166,2026-06-05T23:15:47Z,DEV0030,PORT-DEV0030,ACC0033,maintenance_client,yard_client,LOGIN,LOW,NORMAL,
EDR-00167,2026-06-18T21:12:22Z,DEV0078,PORT-DEV0078,ACC0030,sensor_service,services.exe,SOFTWARE_UPDATE,LOW,NORMAL,
EDR-00168,2026-06-23T10:30:52Z,DEV0023,PORT-DEV0023,ACC0036,ssh,explorer.exe,SOFTWARE_UPDATE,LOW,NORMAL,
EDR-00169,2026-06-09T11:39:39Z,DEV0094,PORT-DEV0094,ACC0023,rdp,services.exe,SOFTWARE_UPDATE,LOW,NORMAL,
EDR-00170,2026-06-20T12:55:13Z,DEV0065,PORT-DEV0065,ACC0032,plc_tool,services.exe,SOFTWARE_UPDATE,LOW,NORMAL,
EDR-00171,2026-06-19T06:02:40Z,DEV0082,PORT-DEV0082,ACC0018,ssh,explorer.exe,NONE,LOW,NORMAL,
EDR-00172,2026-06-09T20:25:23Z,DEV0018,PORT-DEV0018,ACC0035,sensor_service,vendor_agent,SERVICE_EVENT,LOW,NORMAL,
EDR-00173,2026-06-24T10:08:50Z,DEV0099,PORT-DEV0099,ACC0004,plc_tool,yard_client,LOGIN,LOW,NORMAL,
EDR-00174,2026-06-16T22:14:04Z,DEV0025,PORT-DEV0025,ACC0013,vendor_agent,yard_client,SERVICE_EVENT,LOW,NORMAL,
EDR-00175,2026-06-16T22:39:51Z,DEV0068,PORT-DEV0068,ACC0032,remote_admin_tool,yard_client,SERVICE_EVENT,LOW,NORMAL,
EDR-00176,2026-06-20T02:59:17Z,DEV0063,PORT-DEV0063,ACC0034,yard_client,yard_client,NONE,LOW,NORMAL,
EDR-00177,2026-06-25T14:32:07Z,DEV0068,PORT-DEV0068,ACC0046,maintenance_client,explorer.exe,NONE,LOW,NORMAL,
EDR-00178,2026-06-10T07:16:26Z,DEV0049,PORT-DEV0049,ACC0039,yard_client,services.exe,NONE,LOW,NORMAL,
EDR-00179,2026-06-24T11:25:39Z,DEV0032,PORT-DEV0032,ACC0020,ssh,yard_client,SERVICE_EVENT,LOW,NORMAL,
