event_id,timestamp,vendor_id,account_id,source_ip,device_id,auth_result,MFA_status,session_duration_sec,role,access_zone,off_hours,new_device,event_label,incident_id
VPN-00024,2026-06-27T07:28:20Z,V018,ACC0060,192.0.2.34,DEV0019,SUCCESS,YES,155,YardVendor,OT-ZONE,NO,NO,NORMAL,
VPN-00025,2026-06-21T07:40:43Z,V013,ACC0025,192.0.2.35,DEV0049,SUCCESS,YES,67,YardVendor,CONTROL-ROOM,NO,NO,NORMAL,
VPN-00026,2026-06-09T09:27:58Z,V015,ACC0039,192.0.2.36,DEV0077,SUCCESS,YES,48,AutomationVendor,YARD-C,NO,NO,NORMAL,
VPN-00027,2026-06-03T13:25:44Z,V017,ACC0013,192.0.2.37,DEV0025,SUCCESS,YES,91,NetworkVendor,CONTROL-ROOM,NO,NO,NORMAL,
VPN-00028,2026-06-24T01:39:30Z,V001,ACC0001,192.0.2.38,DEV0001,SUCCESS,YES,139,CraneVendor,OT-ZONE,YES,NO,NORMAL,
VPN-00029,2026-06-30T09:56:30Z,V017,ACC0053,192.0.2.39,DEV0005,SUCCESS,YES,69,NetworkVendor,CRANE-ZONE,NO,NO,NORMAL,
VPN-00030,2026-06-21T18:34:36Z,V010,ACC0004,192.0.2.40,DEV0007,SUCCESS,YES,169,AutomationVendor,GATE-A,NO,NO,NORMAL,
VPN-00031,2026-06-25T02:52:38Z,V011,ACC0011,192.0.2.41,DEV0021,SUCCESS,YES,40,CraneVendor,GATE-A,YES,NO,NORMAL,
VPN-00032,2026-06-05T07:08:47Z,V012,ACC0038,192.0.2.42,DEV0075,SUCCESS,YES,154,NetworkVendor,YARD-B,NO,NO,NORMAL,
VPN-00033,2026-06-03T16:08:10Z,V001,ACC0041,192.0.2.43,DEV0081,SUCCESS,YES,177,CraneVendor,CONTROL-ROOM,NO,NO,NORMAL,
VPN-00034,2026-06-01T21:00:24Z,V005,ACC0029,192.0.2.44,DEV0057,SUCCESS,YES,50,AutomationVendor,YARD-A,YES,NO,NORMAL,
VPN-00035,2026-06-06T07:09:58Z,V008,ACC0010,192.0.2.45,DEV0019,FAILURE,YES,15,YardVendor,GATE-B,NO,NO,NORMAL,
VPN-00036,2026-06-17T20:50:53Z,V014,ACC0012,192.0.2.46,DEV0023,SUCCESS,YES,117,MaintenanceVendor,CRANE-ZONE,YES,NO,NORMAL,
VPN-00037,2026-06-02T01:57:30Z,V016,ACC0026,192.0.2.47,DEV0051,SUCCESS,YES,63,CraneVendor,GATE-B,YES,NO,NORMAL,
VPN-00038,2026-06-03T18:59:45Z,V012,ACC0038,192.0.2.48,DEV0075,SUCCESS,YES,170,NetworkVendor,CRANE-ZONE,NO,NO,NORMAL,
VPN-00039,2026-06-29T15:05:25Z,V006,ACC0036,192.0.2.49,DEV0071,SUCCESS,YES,114,CraneVendor,GATE-A,NO,NO,NORMAL,
VPN-00040,2026-06-12T17:58:37Z,V002,ACC0048,192.0.2.50,DEV0095,SUCCESS,YES,53,NetworkVendor,YARD-A,NO,NO,NORMAL,
VPN-00041,2026-06-09T16:59:52Z,V019,ACC0047,192.0.2.51,DEV0093,SUCCESS,YES,168,MaintenanceVendor,OT-ZONE,NO,NO,NORMAL,
VPN-00042,2026-06-07T00:29:26Z,V018,ACC0020,192.0.2.52,DEV0039,SUCCESS,YES,78,YardVendor,OT-ZONE,YES,NO,NORMAL,
VPN-00043,2026-06-12T12:48:38Z,V013,ACC0005,192.0.2.53,DEV0009,SUCCESS,YES,20,YardVendor,YARD-B,NO,NO,NORMAL,
VPN-00044,2026-06-26T05:49:18Z,V006,ACC0016,192.0.2.54,DEV0031,SUCCESS,YES,41,CraneVendor,YARD-C,YES,NO,NORMAL,
VPN-00045,2026-06-04T17:36:42Z,V010,ACC0024,192.0.2.55,DEV0047,SUCCESS,YES,159,AutomationVendor,GATE-A,NO,NO,NORMAL,
VPN-00046,2026-06-06T06:52:15Z,V020,ACC0014,192.0.2.56,DEV0027,SUCCESS,YES,5,AutomationVendor,YARD-A,NO,NO,NORMAL,
VPN-00047,2026-06-21T18:26:38Z,V016,ACC0026,192.0.2.57,DEV0051,SUCCESS,YES,59,CraneVendor,YARD-A,NO,NO,NORMAL,
VPN-00048,2026-06-25T15:38:44Z,V011,ACC0031,192.0.2.58,DEV0061,SUCCESS,YES,110,CraneVendor,OT-ZONE,NO,NO,NORMAL,
VPN-00049,2026-06-22T06:29:36Z,V002,ACC0008,192.0.2.59,DEV0015,SUCCESS,YES,71,NetworkVendor,YARD-A,NO,NO,NORMAL,
VPN-00050,2026-06-05T16:25:43Z,V013,ACC0005,192.0.2.60,DEV0009,SUCCESS,YES,84,YardVendor,CRANE-ZONE,NO,NO,NORMAL,
VPN-00051,2026-06-30T05:50:00Z,V020,ACC0014,192.0.2.61,DEV0027,SUCCESS,YES,156,AutomationVendor,YARD-B,YES,NO,NORMAL,
VPN-00052,2026-06-16T09:38:52Z,V004,ACC0042,192.0.2.62,DEV0083,SUCCESS,FAILED,86,MaintenanceVendor,YARD-A,NO,NO,NORMAL,
VPN-00053,2026-06-28T04:48:55Z,V007,ACC0003,192.0.2.63,DEV0005,SUCCESS,YES,151,NetworkVendor,GATE-A,YES,NO,NORMAL,
VPN-00054,2026-06-19T04:55:59Z,V018,ACC0040,192.0.2.64,DEV0079,SUCCESS,YES,66,YardVendor,CRANE-ZONE,YES,NO,NORMAL,
VPN-00055,2026-06-26T00:21:28Z,V001,ACC0021,192.0.2.65,DEV0041,SUCCESS,FAILED,88,CraneVendor,CRANE-ZONE,YES,NO,NORMAL,
VPN-00056,2026-06-18T12:41:15Z,V005,ACC0029,192.0.2.66,DEV0057,SUCCESS,YES,170,AutomationVendor,CRANE-ZONE,NO,NO,NORMAL,
VPN-00057,2026-06-06T23:04:03Z,V015,ACC0039,192.0.2.67,DEV0077,SUCCESS,YES,45,AutomationVendor,YARD-C,YES,NO,NORMAL,
VPN-00058,2026-06-06T02:51:47Z,V015,ACC0019,192.0.2.68,DEV0037,SUCCESS,YES,62,AutomationVendor,YARD-C,YES,NO,NORMAL,
VPN-00059,2026-06-07T03:30:17Z,V008,ACC0050,192.0.2.69,DEV0099,SUCCESS,YES,123,YardVendor,YARD-B,YES,NO,NORMAL,
VPN-00060,2026-06-23T14:14:39Z,V013,ACC0005,192.0.2.70,DEV0009,FAILURE,YES,145,YardVendor,CRANE-ZONE,NO,NO,NORMAL,
VPN-00061,2026-06-22T02:03:01Z,V015,ACC0019,192.0.2.71,DEV0037,SUCCESS,YES,107,AutomationVendor,CONTROL-ROOM,YES,NO,NORMAL,
VPN-00062,2026-06-26T09:57:08Z,V009,ACC0037,192.0.2.72,DEV0073,SUCCESS,YES,52,MaintenanceVendor,CRANE-ZONE,NO,NO,NORMAL,
VPN-00063,2026-06-01T12:44:07Z,V001,ACC0001,192.0.2.73,DEV0001,SUCCESS,YES,116,CraneVendor,YARD-A,NO,NO,NORMAL,
VPN-00064,2026-06-21T00:02:31Z,V012,ACC0038,192.0.2.74,DEV0075,SUCCESS,YES,133,NetworkVendor,CRANE-ZONE,YES,NO,NORMAL,
VPN-00065,2026-06-19T14:37:55Z,V019,ACC0047,192.0.2.75,DEV0093,SUCCESS,YES,140,MaintenanceVendor,CRANE-ZONE,NO,NO,NORMAL,
VPN-00066,2026-06-06T11:42:54Z,V015,ACC0019,192.0.2.76,DEV0037,SUCCESS,YES,19,AutomationVendor,CRANE-ZONE,NO,NO,NORMAL,
VPN-00067,2026-06-06T19:29:02Z,V012,ACC0038,192.0.2.77,DEV0075,SUCCESS,YES,61,NetworkVendor,YARD-C,NO,NO,NORMAL,
VPN-00068,2026-06-13T08:53:01Z,V013,ACC0025,192.0.2.78,DEV0049,SUCCESS,YES,31,YardVendor,GATE-B,NO,NO,NORMAL,
VPN-00069,2026-06-06T10:28:18Z,V014,ACC0052,192.0.2.79,DEV0003,SUCCESS,YES,156,MaintenanceVendor,YARD-A,NO,NO,NORMAL,
VPN-00070,2026-06-26T07:49:25Z,V015,ACC0039,192.0.2.80,DEV0077,SUCCESS,YES,101,AutomationVendor,YARD-A,NO,NO,NORMAL,
VPN-00071,2026-06-05T14:25:29Z,V009,ACC0017,192.0.2.81,DEV0033,SUCCESS,YES,22,MaintenanceVendor,YARD-B,NO,NO,NORMAL,
VPN-00072,2026-06-02T18:15:11Z,V013,ACC0045,192.0.2.82,DEV0089,SUCCESS,YES,71,YardVendor,GATE-B,NO,NO,NORMAL,
VPN-00073,2026-06-19T14:25:48Z,V018,ACC0020,198.51.100.45,DEV0039,SUCCESS,NO,140,YardVendor,YARD-B,NO,NO,SUSPICIOUS,
VPN-00074,2026-06-26T15:24:41Z,V012,ACC0058,192.0.2.84,DEV0015,SUCCESS,YES,162,NetworkVendor,CRANE-ZONE,NO,NO,NORMAL,
VPN-00075,2026-06-25T02:24:13Z,V005,ACC0049,192.0.2.85,DEV0097,SUCCESS,FAILED,95,AutomationVendor,YARD-B,YES,NO,NORMAL,
VPN-00076,2026-06-23T15:44:48Z,V020,ACC0054,192.0.2.86,DEV0007,SUCCESS,YES,93,AutomationVendor,GATE-A,NO,NO,NORMAL,
VPN-00077,2026-06-14T23:01:37Z,V020,ACC0034,198.51.100.235,DEV0067,FAILURE,FAILED,252,AutomationVendor,GATE-A,YES,NO,SUSPICIOUS,
VPN-00078,2026-06-05T18:53:51Z,V001,ACC0001,192.0.2.88,DEV0001,FAILURE,YES,85,CraneVendor,CRANE-ZONE,NO,NO,NORMAL,
VPN-00079,2026-06-13T14:48:24Z,V012,ACC0058,192.0.2.89,DEV0015,SUCCESS,YES,65,NetworkVendor,OT-ZONE,NO,NO,NORMAL,
VPN-00080,2026-06-22T13:51:01Z,V008,ACC0050,192.0.2.90,DEV0099,SUCCESS,FAILED,17,YardVendor,CRANE-ZONE,NO,NO,NORMAL,
VPN-00081,2026-06-19T11:34:06Z,V014,ACC0032,192.0.2.91,DEV0063,SUCCESS,YES,60,MaintenanceVendor,GATE-A,NO,NO,NORMAL,
VPN-00082,2026-06-10T04:11:10Z,V011,ACC0031,192.0.2.92,DEV0061,SUCCESS,YES,51,CraneVendor,OT-ZONE,YES,NO,NORMAL,
VPN-00083,2026-06-11T23:28:26Z,V014,ACC0032,192.0.2.93,DEV0063,SUCCESS,YES,149,MaintenanceVendor,OT-ZONE,YES,NO,NORMAL,
VPN-00084,2026-06-28T23:35:04Z,V020,ACC0014,192.0.2.94,DEV0027,SUCCESS,YES,32,AutomationVendor,CRANE-ZONE,YES,NO,NORMAL,
VPN-00085,2026-06-05T12:43:53Z,V005,ACC0009,192.0.2.95,DEV0017,SUCCESS,FAILED,100,AutomationVendor,CRANE-ZONE,NO,NO,NORMAL,
VPN-00086,2026-06-30T14:21:54Z,V006,ACC0016,192.0.2.96,DEV0031,SUCCESS,YES,175,CraneVendor,YARD-A,NO,NO,NORMAL,
VPN-00087,2026-06-04T05:26:21Z,V005,ACC0009,192.0.2.97,DEV0017,SUCCESS,YES,58,AutomationVendor,CONTROL-ROOM,YES,NO,NORMAL,
VPN-00088,2026-06-05T08:06:03Z,V007,ACC0023,192.0.2.98,DEV0045,SUCCESS,YES,52,NetworkVendor,GATE-A,NO,NO,NORMAL,
VPN-00089,2026-06-07T17:26:28Z,V017,ACC0053,192.0.2.99,DEV0005,SUCCESS,YES,114,NetworkVendor,GATE-B,NO,NO,NORMAL,
VPN-00090,2026-06-30T11:10:06Z,V002,ACC0008,192.0.2.100,DEV0015,SUCCESS,YES,133,NetworkVendor,GATE-B,NO,NO,NORMAL,
VPN-00091,2026-06-04T17:43:45Z,V004,ACC0022,192.0.2.101,DEV0043,SUCCESS,YES,96,MaintenanceVendor,CRANE-ZONE,NO,NO,NORMAL,
VPN-00092,2026-06-25T18:56:08Z,V014,ACC0012,192.0.2.102,DEV0023,FAILURE,YES,161,MaintenanceVendor,YARD-B,NO,NO,NORMAL,
VPN-00093,2026-06-04T13:19:50Z,V012,ACC0038,192.0.2.103,DEV0075,SUCCESS,FAILED,52,NetworkVendor,YARD-A,NO,NO,NORMAL,
VPN-00094,2026-06-04T00:24:53Z,V007,ACC0003,192.0.2.104,DEV0005,SUCCESS,FAILED,85,NetworkVendor,GATE-B,YES,NO,NORMAL,
VPN-00095,2026-06-29T17:50:40Z,V016,ACC0006,192.0.2.105,DEV0011,SUCCESS,YES,84,CraneVendor,CRANE-ZONE,NO,NO,NORMAL,
VPN-00096,2026-06-15T06:01:31Z,V008,ACC0030,192.0.2.106,DEV0059,SUCCESS,YES,20,YardVendor,GATE-A,NO,NO,NORMAL,
VPN-00097,2026-06-07T06:13:38Z,V016,ACC0006,192.0.2.107,DEV0011,SUCCESS,YES,118,CraneVendor,YARD-A,NO,NO,NORMAL,
VPN-00098,2026-06-08T10:37:58Z,V017,ACC0033,198.51.100.13,DEV0065,FAILURE,FAILED,191,NetworkVendor,CONTROL-ROOM,NO,NO,SUSPICIOUS,
VPN-00099,2026-06-26T01:42:54Z,V012,ACC0018,192.0.2.109,DEV0035,SUCCESS,YES,176,NetworkVendor,YARD-C,YES,NO,NORMAL,
VPN-00100,2026-06-29T03:15:05Z,V002,ACC0028,192.0.2.110,DEV0055,SUCCESS,YES,53,NetworkVendor,OT-ZONE,YES,NO,NORMAL,
VPN-00101,2026-06-28T12:45:24Z,V017,ACC0033,192.0.2.111,DEV0065,SUCCESS,YES,39,NetworkVendor,GATE-B,NO,NO,NORMAL,
VPN-00102,2026-06-12T07:52:30Z,V012,ACC0058,192.0.2.112,DEV0015,SUCCESS,FAILED,25,NetworkVendor,GATE-B,NO,NO,NORMAL,
VPN-00103,2026-06-22T19:48:08Z,V011,ACC0011,192.0.2.113,DEV0021,SUCCESS,YES,26,CraneVendor,CRANE-ZONE,NO,NO,NORMAL,
VPN-00104,2026-06-07T14:15:48Z,V010,ACC0004,192.0.2.114,DEV0007,SUCCESS,YES,39,AutomationVendor,CRANE-ZONE,NO,NO,NORMAL,
VPN-00105,2026-06-13T23:13:41Z,V014,ACC0012,198.51.100.148,DEV0023,FAILURE,YES,387,MaintenanceVendor,YARD-A,YES,NO,SUSPICIOUS,
VPN-00106,2026-06-01T04:47:25Z,V011,ACC0011,192.0.2.116,DEV0021,SUCCESS,YES,156,CraneVendor,YARD-B,YES,NO,NORMAL,
VPN-00107,2026-06-17T22:01:50Z,V001,ACC0041,192.0.2.117,DEV0081,SUCCESS,YES,54,CraneVendor,CONTROL-ROOM,YES,NO,NORMAL,
VPN-00108,2026-06-25T03:56:20Z,V016,ACC0046,198.51.100.62,DEV0091,SUCCESS,NO,172,CraneVendor,YARD-C,YES,NO,SUSPICIOUS,
VPN-00109,2026-06-05T18:46:07Z,V004,ACC0042,192.0.2.119,DEV0083,SUCCESS,YES,48,MaintenanceVendor,GATE-B,NO,NO,NORMAL,
VPN-00110,2026-06-01T03:42:48Z,V014,ACC0012,192.0.2.120,DEV0023,SUCCESS,YES,111,MaintenanceVendor,GATE-B,YES,NO,NORMAL,
VPN-00111,2026-06-03T17:12:14Z,V014,ACC0052,192.0.2.121,DEV0003,SUCCESS,YES,47,MaintenanceVendor,OT-ZONE,NO,NO,NORMAL,
VPN-00112,2026-06-01T12:55:08Z,V005,ACC0029,192.0.2.122,DEV0057,SUCCESS,YES,124,AutomationVendor,YARD-B,NO,NO,NORMAL,
VPN-00113,2026-06-26T06:02:22Z,V016,ACC0006,192.0.2.123,DEV0011,SUCCESS,YES,85,CraneVendor,GATE-B,NO,NO,NORMAL,
VPN-00114,2026-06-11T03:13:09Z,V014,ACC0032,192.0.2.124,DEV0063,SUCCESS,YES,90,MaintenanceVendor,YARD-A,YES,NO,NORMAL,
VPN-00115,2026-06-05T08:37:52Z,V008,ACC0030,198.51.100.175,DEV0059,SUCCESS,NO,313,YardVendor,YARD-B,NO,NO,SUSPICIOUS,
VPN-00116,2026-06-13T09:14:34Z,V012,ACC0018,192.0.2.126,DEV0035,SUCCESS,YES,37,NetworkVendor,CRANE-ZONE,NO,NO,NORMAL,
VPN-00117,2026-06-16T09:09:34Z,V018,ACC0020,192.0.2.127,DEV0039,SUCCESS,YES,167,YardVendor,CONTROL-ROOM,NO,NO,NORMAL,
VPN-00118,2026-06-08T06:51:03Z,V020,ACC0034,192.0.2.128,DEV0067,SUCCESS,YES,25,AutomationVendor,GATE-B,NO,NO,NORMAL,
VPN-00119,2026-06-03T18:44:51Z,V004,ACC0022,192.0.2.129,DEV0043,SUCCESS,YES,161,MaintenanceVendor,YARD-C,NO,NO,NORMAL,
VPN-00120,2026-06-17T22:55:52Z,V015,ACC0019,192.0.2.130,DEV0037,SUCCESS,YES,124,AutomationVendor,YARD-B,YES,NO,NORMAL,
VPN-00121,2026-06-04T13:22:23Z,V018,ACC0040,192.0.2.131,DEV0079,SUCCESS,FAILED,172,YardVendor,YARD-A,NO,NO,NORMAL,
VPN-00122,2026-06-16T20:17:42Z,V013,ACC0025,192.0.2.132,DEV0049,SUCCESS,YES,73,YardVendor,OT-ZONE,YES,NO,NORMAL,
VPN-00123,2026-06-10T02:46:47Z,V016,ACC0026,192.0.2.133,DEV0051,SUCCESS,YES,41,CraneVendor,CRANE-ZONE,YES,NO,NORMAL,
VPN-00124,2026-06-08T15:07:28Z,V010,ACC0044,192.0.2.134,DEV0087,SUCCESS,YES,155,AutomationVendor,GATE-A,NO,NO,NORMAL,
VPN-00125,2026-06-01T22:04:36Z,V014,ACC0032,192.0.2.135,DEV0063,SUCCESS,FAILED,37,MaintenanceVendor,YARD-A,YES,NO,NORMAL,
VPN-00126,2026-06-21T21:29:31Z,V019,ACC0047,192.0.2.136,DEV0093,SUCCESS,YES,83,MaintenanceVendor,GATE-A,YES,NO,NORMAL,
VPN-00127,2026-06-14T17:29:56Z,V017,ACC0033,192.0.2.137,DEV0065,SUCCESS,YES,118,NetworkVendor,GATE-B,NO,NO,NORMAL,
VPN-00128,2026-06-14T22:40:40Z,V008,ACC0010,192.0.2.138,DEV0019,SUCCESS,YES,28,YardVendor,GATE-A,YES,NO,NORMAL,
VPN-00129,2026-06-05T22:49:00Z,V014,ACC0014,198.51.100.132,DEV0099,SUCCESS,FAILED,156,AutomationVendor,GATE-A,YES,YES,SUSPICIOUS,INC-T21-001
VPN-00130,2026-06-08T08:50:59Z,V011,ACC0011,192.0.2.140,DEV0021,SUCCESS,FAILED,51,CraneVendor,YARD-C,NO,NO,NORMAL,
VPN-00131,2026-06-17T22:47:17Z,V008,ACC0050,192.0.2.141,DEV0099,SUCCESS,YES,78,YardVendor,YARD-A,YES,NO,NORMAL,
VPN-00132,2026-06-08T11:12:25Z,V014,ACC0052,192.0.2.142,DEV0003,SUCCESS,YES,49,MaintenanceVendor,GATE-A,NO,NO,NORMAL,
VPN-00133,2026-06-12T12:53:22Z,V018,ACC0040,192.0.2.143,DEV0079,SUCCESS,YES,164,YardVendor,YARD-C,NO,NO,NORMAL,
VPN-00134,2026-06-26T11:29:20Z,V003,ACC0035,192.0.2.144,DEV0069,SUCCESS,YES,80,YardVendor,CONTROL-ROOM,NO,NO,NORMAL,
VPN-00135,2026-06-15T04:00:33Z,V006,ACC0036,192.0.2.145,DEV0071,SUCCESS,YES,130,CraneVendor,GATE-B,YES,NO,NORMAL,
VPN-00136,2026-06-19T17:53:56Z,V017,ACC0053,192.0.2.146,DEV0005,SUCCESS,YES,104,NetworkVendor,OT-ZONE,NO,NO,NORMAL,
VPN-00137,2026-06-18T23:05:00Z,V019,ACC0058,198.51.100.49,DEV0087,FAILURE,NO,297,NetworkVendor,CONTROL-ROOM,YES,YES,SUSPICIOUS,INC-T21-003
VPN-00138,2026-06-05T23:48:23Z,V015,ACC0059,192.0.2.148,DEV0017,SUCCESS,YES,173,AutomationVendor,CONTROL-ROOM,YES,NO,NORMAL,
VPN-00139,2026-06-10T18:53:06Z,V018,ACC0040,192.0.2.149,DEV0079,SUCCESS,YES,117,YardVendor,GATE-A,NO,NO,NORMAL,
VPN-00140,2026-06-24T20:57:57Z,V001,ACC0001,192.0.2.150,DEV0001,SUCCESS,YES,117,CraneVendor,OT-ZONE,YES,NO,NORMAL,
VPN-00141,2026-06-01T17:48:07Z,V017,ACC0013,192.0.2.151,DEV0025,SUCCESS,FAILED,57,NetworkVendor,YARD-C,NO,NO,NORMAL,
VPN-00142,2026-06-18T13:35:08Z,V012,ACC0038,192.0.2.152,DEV0075,SUCCESS,YES,61,NetworkVendor,OT-ZONE,NO,NO,NORMAL,
VPN-00143,2026-06-14T13:08:47Z,V014,ACC0012,192.0.2.153,DEV0023,SUCCESS,YES,23,MaintenanceVendor,GATE-B,NO,NO,NORMAL,
VPN-00144,2026-06-12T10:36:52Z,V018,ACC0020,192.0.2.154,DEV0039,SUCCESS,YES,87,YardVendor,CRANE-ZONE,NO,NO,NORMAL,
VPN-00145,2026-06-21T07:19:07Z,V003,ACC0035,192.0.2.155,DEV0069,SUCCESS,YES,133,YardVendor,GATE-B,NO,NO,NORMAL,
VPN-00146,2026-06-02T16:29:17Z,V012,ACC0018,192.0.2.156,DEV0035,SUCCESS,YES,178,NetworkVendor,OT-ZONE,NO,NO,NORMAL,
VPN-00147,2026-06-18T10:08:55Z,V011,ACC0031,192.0.2.157,DEV0061,SUCCESS,YES,52,CraneVendor,YARD-C,NO,NO,NORMAL,
VPN-00148,2026-06-04T13:33:51Z,V017,ACC0053,192.0.2.158,DEV0005,SUCCESS,YES,176,NetworkVendor,YARD-C,NO,NO,NORMAL,
VPN-00149,2026-06-04T01:51:10Z,V003,ACC0035,198.51.100.13,DEV0069,SUCCESS,YES,290,YardVendor,YARD-B,YES,NO,SUSPICIOUS,
VPN-00150,2026-06-24T16:35:34Z,V013,ACC0045,192.0.2.160,DEV0089,SUCCESS,YES,167,YardVendor,YARD-A,NO,NO,NORMAL,
VPN-00151,2026-06-02T12:07:23Z,V018,ACC0040,192.0.2.161,DEV0079,SUCCESS,YES,132,YardVendor,GATE-B,NO,NO,NORMAL,
VPN-00152,2026-06-09T04:08:57Z,V012,ACC0018,192.0.2.162,DEV0035,SUCCESS,YES,44,NetworkVendor,CONTROL-ROOM,YES,NO,NORMAL,
VPN-00153,2026-06-17T07:02:29Z,V002,ACC0048,192.0.2.163,DEV0095,SUCCESS,YES,170,NetworkVendor,YARD-A,NO,NO,NORMAL,
VPN-00154,2026-06-24T06:41:54Z,V020,ACC0054,192.0.2.164,DEV0007,SUCCESS,YES,152,AutomationVendor,OT-ZONE,NO,NO,NORMAL,
VPN-00155,2026-06-11T00:59:15Z,V002,ACC0028,192.0.2.165,DEV0055,SUCCESS,YES,111,NetworkVendor,CONTROL-ROOM,YES,NO,NORMAL,
VPN-00156,2026-06-21T10:46:24Z,V013,ACC0005,192.0.2.166,DEV0009,SUCCESS,YES,126,YardVendor,CONTROL-ROOM,NO,NO,NORMAL,
VPN-00157,2026-06-27T19:39:22Z,V013,ACC0005,192.0.2.167,DEV0009,SUCCESS,YES,101,YardVendor,YARD-C,NO,NO,NORMAL,
VPN-00158,2026-06-23T14:25:16Z,V010,ACC0004,192.0.2.168,DEV0007,SUCCESS,YES,156,AutomationVendor,CRANE-ZONE,NO,NO,NORMAL,
VPN-00159,2026-06-25T13:34:05Z,V012,ACC0058,192.0.2.169,DEV0015,SUCCESS,YES,18,NetworkVendor,YARD-B,NO,NO,NORMAL,
VPN-00160,2026-06-21T19:04:21Z,V019,ACC0007,192.0.2.170,DEV0013,SUCCESS,YES,31,MaintenanceVendor,YARD-B,NO,NO,NORMAL,
