event_id,timestamp,badge_id,person_type,gate_id,zone,access_result,direction,event_label,incident_id
PHY-00026,2026-06-12T02:41:33Z,BADGE-0001,Security,GATE-02,CRANE-ZONE,GRANTED,OUT,NORMAL,
PHY-00027,2026-06-10T04:08:59Z,BADGE-0073,Operator,GATE-03,CONTROL-ROOM,GRANTED,OUT,NORMAL,
PHY-00028,2026-06-05T20:34:19Z,BADGE-0078,Security,GATE-02,GATE-B,GRANTED,OUT,NORMAL,
PHY-00029,2026-06-26T14:09:03Z,BADGE-0121,Engineer,GATE-03,YARD-A,GRANTED,IN,NORMAL,
PHY-00030,2026-06-18T21:42:05Z,BADGE-0115,Vendor,GATE-01,YARD-B,GRANTED,IN,NORMAL,
PHY-00031,2026-06-16T16:26:15Z,BADGE-0072,Vendor,GATE-04,OT-ZONE,GRANTED,OUT,NORMAL,
PHY-00032,2026-06-19T13:40:43Z,BADGE-0021,Engineer,GATE-02,OT-ZONE,GRANTED,IN,NORMAL,
PHY-00033,2026-06-11T05:25:24Z,BADGE-0059,Vendor,GATE-01,CRANE-ZONE,GRANTED,IN,NORMAL,
PHY-00034,2026-06-22T03:39:31Z,BADGE-0065,Operator,GATE-04,GATE-B,GRANTED,IN,NORMAL,
PHY-00035,2026-06-21T11:48:12Z,BADGE-0039,Engineer,GATE-01,YARD-A,GRANTED,IN,NORMAL,
PHY-00036,2026-06-21T19:47:44Z,BADGE-0109,Operator,GATE-02,GATE-B,GRANTED,OUT,NORMAL,
PHY-00037,2026-06-21T12:05:34Z,BADGE-0019,Operator,GATE-01,CONTROL-ROOM,GRANTED,OUT,NORMAL,
PHY-00038,2026-06-16T17:35:15Z,BADGE-0026,Vendor,GATE-03,GATE-B,GRANTED,OUT,NORMAL,
PHY-00039,2026-06-29T23:56:31Z,BADGE-0091,Engineer,GATE-02,CRANE-ZONE,GRANTED,OUT,NORMAL,
PHY-00040,2026-06-20T16:15:50Z,BADGE-0071,Engineer,GATE-01,YARD-C,GRANTED,OUT,NORMAL,
PHY-00041,2026-06-03T04:23:56Z,BADGE-0015,Engineer,GATE-04,GATE-B,GRANTED,OUT,SUSPICIOUS,
PHY-00042,2026-06-17T02:09:33Z,BADGE-0136,Engineer,GATE-02,YARD-A,GRANTED,IN,NORMAL,
PHY-00043,2026-06-21T08:30:34Z,BADGE-0088,Operator,GATE-04,GATE-B,GRANTED,IN,NORMAL,
PHY-00044,2026-06-07T07:59:10Z,BADGE-0094,Vendor,GATE-03,GATE-B,GRANTED,OUT,NORMAL,
PHY-00045,2026-06-01T16:05:19Z,BADGE-0027,Vendor,GATE-04,YARD-B,GRANTED,OUT,NORMAL,
PHY-00046,2026-06-09T15:51:44Z,BADGE-0036,Engineer,GATE-01,YARD-C,GRANTED,IN,NORMAL,
PHY-00047,2026-06-19T05:30:39Z,BADGE-0080,Security,GATE-03,YARD-C,GRANTED,IN,NORMAL,
PHY-00048,2026-06-28T09:20:33Z,BADGE-0050,Operator,GATE-04,YARD-C,GRANTED,IN,NORMAL,
PHY-00049,2026-06-26T21:58:06Z,BADGE-0141,Operator,GATE-01,CRANE-ZONE,GRANTED,IN,NORMAL,
PHY-00050,2026-06-15T16:19:46Z,BADGE-0059,Vendor,GATE-01,GATE-B,GRANTED,OUT,NORMAL,
PHY-00051,2026-06-29T11:52:04Z,BADGE-0101,Security,GATE-03,YARD-C,GRANTED,OUT,NORMAL,
PHY-00052,2026-06-04T17:24:29Z,BADGE-0139,Vendor,GATE-04,GATE-B,GRANTED,IN,NORMAL,
PHY-00053,2026-06-28T05:25:10Z,BADGE-0070,Operator,GATE-02,GATE-B,GRANTED,IN,NORMAL,
PHY-00054,2026-06-03T17:09:14Z,BADGE-0089,Security,GATE-04,OT-ZONE,GRANTED,OUT,NORMAL,
PHY-00055,2026-06-16T20:21:23Z,BADGE-0097,Security,GATE-02,CRANE-ZONE,GRANTED,IN,NORMAL,
PHY-00056,2026-06-14T20:32:17Z,BADGE-0022,Operator,GATE-01,YARD-C,GRANTED,IN,NORMAL,
PHY-00057,2026-06-08T10:50:23Z,BADGE-0047,Vendor,GATE-04,YARD-A,GRANTED,OUT,NORMAL,
PHY-00058,2026-06-10T17:56:56Z,BADGE-0071,Engineer,GATE-02,YARD-B,GRANTED,IN,NORMAL,
PHY-00059,2026-06-23T16:32:16Z,BADGE-0082,Security,GATE-01,GATE-A,GRANTED,OUT,NORMAL,
PHY-00060,2026-06-16T20:05:27Z,BADGE-0077,Engineer,GATE-03,YARD-A,GRANTED,OUT,NORMAL,
PHY-00061,2026-06-18T06:15:14Z,BADGE-0120,Engineer,GATE-02,CONTROL-ROOM,GRANTED,OUT,NORMAL,
PHY-00062,2026-06-29T14:05:27Z,BADGE-0104,Security,GATE-02,CRANE-ZONE,GRANTED,IN,NORMAL,
PHY-00063,2026-06-11T12:34:20Z,BADGE-0042,Security,GATE-01,GATE-B,GRANTED,OUT,NORMAL,
PHY-00064,2026-06-10T22:56:35Z,BADGE-0027,Operator,GATE-02,CONTROL-ROOM,GRANTED,OUT,NORMAL,
PHY-00065,2026-06-01T03:52:13Z,BADGE-0118,Engineer,GATE-01,CRANE-ZONE,GRANTED,OUT,NORMAL,
PHY-00066,2026-06-13T08:52:08Z,BADGE-0128,Security,GATE-04,GATE-B,GRANTED,OUT,NORMAL,
PHY-00067,2026-06-28T08:25:14Z,BADGE-0099,Vendor,GATE-01,YARD-B,GRANTED,OUT,NORMAL,
PHY-00068,2026-06-25T10:49:12Z,BADGE-0097,Security,GATE-02,YARD-C,GRANTED,OUT,NORMAL,
PHY-00069,2026-06-13T08:15:51Z,BADGE-0084,Operator,GATE-02,YARD-C,GRANTED,OUT,NORMAL,
PHY-00070,2026-06-13T19:37:10Z,BADGE-0120,Engineer,GATE-01,YARD-C,GRANTED,OUT,NORMAL,
PHY-00071,2026-06-16T23:02:59Z,BADGE-0119,Vendor,GATE-01,CONTROL-ROOM,GRANTED,OUT,NORMAL,
PHY-00072,2026-06-14T17:38:53Z,BADGE-0015,Security,GATE-01,YARD-B,GRANTED,OUT,NORMAL,
PHY-00073,2026-06-21T08:31:52Z,BADGE-0114,Vendor,GATE-03,YARD-B,GRANTED,IN,NORMAL,
PHY-00074,2026-06-09T10:12:09Z,BADGE-0067,Vendor,GATE-04,CONTROL-ROOM,GRANTED,OUT,NORMAL,
PHY-00075,2026-06-22T02:42:26Z,BADGE-0096,Operator,GATE-04,GATE-B,GRANTED,IN,NORMAL,
PHY-00076,2026-06-19T00:55:20Z,BADGE-0025,Vendor,GATE-01,YARD-B,GRANTED,IN,NORMAL,
PHY-00077,2026-06-19T23:56:47Z,BADGE-0075,Vendor,GATE-04,CONTROL-ROOM,GRANTED,OUT,NORMAL,
PHY-00078,2026-06-13T13:46:17Z,BADGE-0074,Security,GATE-04,YARD-C,GRANTED,IN,NORMAL,
PHY-00079,2026-06-07T00:42:13Z,BADGE-0113,Engineer,GATE-02,YARD-A,GRANTED,IN,NORMAL,
PHY-00080,2026-06-12T12:44:14Z,BADGE-0141,Operator,GATE-03,GATE-A,GRANTED,OUT,NORMAL,
PHY-00081,2026-06-17T04:49:42Z,BADGE-0121,Security,GATE-02,CONTROL-ROOM,GRANTED,IN,NORMAL,
PHY-00082,2026-06-13T04:40:07Z,BADGE-0143,Operator,GATE-03,CONTROL-ROOM,GRANTED,OUT,NORMAL,
PHY-00083,2026-06-16T00:03:54Z,BADGE-0107,Security,GATE-01,GATE-A,GRANTED,IN,NORMAL,
PHY-00084,2026-06-13T19:09:43Z,BADGE-0029,Security,GATE-02,YARD-A,GRANTED,OUT,NORMAL,
PHY-00085,2026-06-30T22:23:04Z,BADGE-0125,Security,GATE-03,YARD-C,GRANTED,OUT,NORMAL,
PHY-00086,2026-06-26T15:23:21Z,BADGE-0022,Vendor,GATE-03,CRANE-ZONE,GRANTED,IN,NORMAL,
PHY-00087,2026-06-09T16:18:41Z,BADGE-0106,Operator,GATE-04,GATE-B,GRANTED,OUT,NORMAL,
PHY-00088,2026-06-27T04:15:11Z,BADGE-0080,Engineer,GATE-02,GATE-B,GRANTED,OUT,NORMAL,
PHY-00089,2026-06-09T07:10:30Z,BADGE-0052,Security,GATE-01,CRANE-ZONE,GRANTED,OUT,NORMAL,
PHY-00090,2026-06-11T20:09:08Z,BADGE-0081,Engineer,GATE-03,GATE-A,GRANTED,OUT,NORMAL,
PHY-00091,2026-06-08T22:41:59Z,BADGE-0136,Operator,GATE-01,YARD-A,GRANTED,IN,NORMAL,
PHY-00092,2026-06-21T04:25:06Z,BADGE-0031,Engineer,GATE-04,YARD-B,GRANTED,OUT,NORMAL,
PHY-00093,2026-06-28T12:50:27Z,BADGE-0108,Vendor,GATE-03,CONTROL-ROOM,GRANTED,OUT,NORMAL,
PHY-00094,2026-06-30T01:22:32Z,BADGE-0062,Operator,GATE-02,OT-ZONE,GRANTED,OUT,NORMAL,
PHY-00095,2026-06-26T10:51:53Z,BADGE-0042,Vendor,GATE-03,CONTROL-ROOM,GRANTED,IN,NORMAL,
PHY-00096,2026-06-20T05:33:40Z,BADGE-0010,Security,GATE-01,OT-ZONE,GRANTED,IN,NORMAL,
PHY-00097,2026-06-10T19:58:19Z,BADGE-0072,Engineer,GATE-02,YARD-A,GRANTED,IN,NORMAL,
PHY-00098,2026-06-30T09:34:21Z,BADGE-0008,Operator,GATE-04,OT-ZONE,GRANTED,OUT,NORMAL,
PHY-00099,2026-06-04T10:44:26Z,BADGE-0093,Operator,GATE-04,YARD-B,GRANTED,IN,NORMAL,
PHY-00100,2026-06-13T09:34:39Z,BADGE-0105,Security,GATE-01,YARD-C,GRANTED,IN,SUSPICIOUS,
PHY-00101,2026-06-03T18:05:54Z,BADGE-0118,Security,GATE-03,YARD-C,GRANTED,OUT,NORMAL,
PHY-00102,2026-06-21T23:47:11Z,BADGE-0144,Vendor,GATE-04,CRANE-ZONE,GRANTED,OUT,NORMAL,
PHY-00103,2026-06-19T15:45:07Z,BADGE-0039,Vendor,GATE-04,GATE-A,GRANTED,OUT,NORMAL,
PHY-00104,2026-06-26T06:50:44Z,BADGE-0086,Vendor,GATE-03,OT-ZONE,GRANTED,OUT,NORMAL,
PHY-00105,2026-06-18T21:33:20Z,BADGE-0107,Security,GATE-01,CONTROL-ROOM,GRANTED,IN,NORMAL,
PHY-00106,2026-06-28T19:31:31Z,BADGE-0015,Vendor,GATE-04,GATE-A,GRANTED,IN,NORMAL,
PHY-00107,2026-06-09T23:48:35Z,BADGE-0094,Security,GATE-01,YARD-C,GRANTED,IN,NORMAL,
PHY-00108,2026-06-07T23:34:00Z,BADGE-0031,Vendor,GATE-04,GATE-B,GRANTED,IN,NORMAL,
PHY-00109,2026-06-06T11:09:04Z,BADGE-0119,Engineer,GATE-04,GATE-B,GRANTED,OUT,NORMAL,
PHY-00110,2026-06-02T23:38:32Z,BADGE-0050,Vendor,GATE-04,GATE-B,GRANTED,OUT,NORMAL,
PHY-00111,2026-06-01T00:28:11Z,BADGE-0075,Operator,GATE-04,CRANE-ZONE,GRANTED,IN,NORMAL,
PHY-00112,2026-06-19T14:28:57Z,BADGE-0058,Engineer,GATE-02,CONTROL-ROOM,GRANTED,IN,NORMAL,
PHY-00113,2026-06-09T10:00:33Z,BADGE-0084,Vendor,GATE-01,YARD-A,GRANTED,IN,NORMAL,
PHY-00114,2026-06-01T11:42:54Z,BADGE-0048,Security,GATE-01,YARD-C,GRANTED,IN,NORMAL,
PHY-00115,2026-06-06T15:26:52Z,BADGE-0067,Engineer,GATE-01,YARD-C,GRANTED,IN,NORMAL,
PHY-00116,2026-06-30T11:14:57Z,BADGE-0078,Operator,GATE-03,YARD-C,GRANTED,OUT,NORMAL,
PHY-00117,2026-06-07T03:24:12Z,BADGE-0011,Vendor,GATE-01,YARD-C,GRANTED,IN,NORMAL,
PHY-00118,2026-06-25T17:43:29Z,BADGE-0100,Vendor,GATE-04,CRANE-ZONE,GRANTED,IN,NORMAL,
PHY-00119,2026-06-04T17:48:26Z,BADGE-0089,Security,GATE-03,GATE-B,GRANTED,IN,NORMAL,
PHY-00120,2026-06-29T05:03:51Z,BADGE-0082,Operator,GATE-01,OT-ZONE,GRANTED,OUT,NORMAL,
PHY-00121,2026-06-11T10:18:18Z,BADGE-0079,Engineer,GATE-01,YARD-C,GRANTED,OUT,NORMAL,
PHY-00122,2026-06-29T11:58:47Z,BADGE-0042,Operator,GATE-04,GATE-B,GRANTED,IN,SUSPICIOUS,
PHY-00123,2026-06-14T01:06:29Z,BADGE-0040,Operator,GATE-01,GATE-B,GRANTED,IN,NORMAL,
PHY-00124,2026-06-17T14:46:54Z,BADGE-0143,Operator,GATE-04,YARD-A,GRANTED,IN,NORMAL,
PHY-00125,2026-06-22T05:05:02Z,BADGE-0029,Operator,GATE-03,OT-ZONE,GRANTED,OUT,NORMAL,
PHY-00126,2026-06-29T20:09:33Z,BADGE-0040,Security,GATE-04,CONTROL-ROOM,GRANTED,OUT,NORMAL,
PHY-00127,2026-06-15T21:55:14Z,BADGE-0133,Security,GATE-04,YARD-A,GRANTED,OUT,NORMAL,
PHY-00128,2026-06-24T02:39:48Z,BADGE-0073,Vendor,GATE-02,CONTROL-ROOM,GRANTED,IN,NORMAL,
PHY-00129,2026-06-28T17:56:48Z,BADGE-0131,Operator,GATE-01,YARD-B,GRANTED,IN,NORMAL,
PHY-00130,2026-06-13T11:20:38Z,BADGE-0117,Engineer,GATE-02,YARD-A,GRANTED,IN,NORMAL,
PHY-00131,2026-06-13T19:31:21Z,BADGE-0068,Security,GATE-03,YARD-C,GRANTED,OUT,NORMAL,
PHY-00132,2026-06-14T16:48:12Z,BADGE-0121,Security,GATE-02,OT-ZONE,GRANTED,IN,NORMAL,
PHY-00133,2026-06-28T00:45:36Z,BADGE-0043,Engineer,GATE-02,CONTROL-ROOM,GRANTED,IN,NORMAL,
PHY-00134,2026-06-08T08:57:39Z,BADGE-0079,Engineer,GATE-01,GATE-A,GRANTED,OUT,SUSPICIOUS,
PHY-00135,2026-06-05T13:15:35Z,BADGE-0127,Security,GATE-04,GATE-A,GRANTED,OUT,NORMAL,
PHY-00136,2026-06-09T14:16:13Z,BADGE-0078,Security,GATE-03,YARD-A,GRANTED,OUT,NORMAL,
PHY-00137,2026-06-13T04:44:39Z,BADGE-0063,Engineer,GATE-01,YARD-A,GRANTED,IN,NORMAL,
PHY-00138,2026-06-22T09:06:22Z,BADGE-0051,Security,GATE-01,GATE-B,GRANTED,OUT,NORMAL,
PHY-00139,2026-06-30T02:22:17Z,BADGE-0077,Engineer,GATE-04,YARD-B,GRANTED,OUT,NORMAL,
PHY-00140,2026-06-10T01:28:52Z,BADGE-0055,Engineer,GATE-01,CONTROL-ROOM,GRANTED,OUT,NORMAL,
PHY-00141,2026-06-22T00:42:53Z,BADGE-0001,Operator,GATE-04,CONTROL-ROOM,GRANTED,OUT,NORMAL,
PHY-00142,2026-06-13T10:47:45Z,BADGE-0149,Operator,GATE-02,GATE-B,GRANTED,IN,NORMAL,
PHY-00143,2026-06-17T11:41:44Z,BADGE-0005,Operator,GATE-01,YARD-B,GRANTED,IN,NORMAL,
PHY-00144,2026-06-07T10:30:26Z,BADGE-0144,Security,GATE-01,YARD-C,GRANTED,OUT,NORMAL,
PHY-00145,2026-06-26T02:36:50Z,BADGE-0091,Vendor,GATE-03,CONTROL-ROOM,GRANTED,IN,NORMAL,
PHY-00146,2026-06-02T16:43:35Z,BADGE-0109,Security,GATE-04,YARD-A,GRANTED,OUT,NORMAL,
PHY-00147,2026-06-26T01:57:29Z,BADGE-0133,Vendor,GATE-02,YARD-C,GRANTED,IN,NORMAL,
PHY-00148,2026-06-17T22:21:30Z,BADGE-0023,Security,GATE-04,YARD-B,GRANTED,OUT,NORMAL,
PHY-00149,2026-06-07T13:58:09Z,BADGE-0060,Engineer,GATE-03,OT-ZONE,GRANTED,IN,NORMAL,
PHY-00150,2026-06-04T01:15:45Z,BADGE-0057,Operator,GATE-04,CONTROL-ROOM,GRANTED,IN,SUSPICIOUS,
PHY-00151,2026-06-14T18:46:53Z,BADGE-0078,Engineer,GATE-01,YARD-C,GRANTED,OUT,NORMAL,
PHY-00152,2026-06-17T10:48:32Z,BADGE-0109,Security,GATE-03,CRANE-ZONE,GRANTED,IN,NORMAL,
PHY-00153,2026-06-13T19:15:31Z,BADGE-0062,Security,GATE-03,GATE-B,GRANTED,IN,NORMAL,
PHY-00154,2026-06-13T00:13:12Z,BADGE-0024,Security,GATE-01,GATE-B,GRANTED,OUT,NORMAL,
PHY-00155,2026-06-27T04:53:39Z,BADGE-0017,Operator,GATE-02,YARD-B,GRANTED,IN,NORMAL,
PHY-00156,2026-06-14T19:22:29Z,BADGE-0023,Operator,GATE-04,GATE-A,GRANTED,OUT,NORMAL,
PHY-00157,2026-06-13T07:56:19Z,BADGE-0080,Security,GATE-01,GATE-B,GRANTED,IN,NORMAL,
PHY-00158,2026-06-26T06:37:52Z,BADGE-0118,Vendor,GATE-03,YARD-B,DENIED,IN,SUSPICIOUS,
PHY-00159,2026-06-07T03:57:00Z,BADGE-0102,Security,GATE-01,OT-ZONE,GRANTED,OUT,NORMAL,
PHY-00160,2026-06-21T10:39:50Z,BADGE-0127,Security,GATE-01,CONTROL-ROOM,GRANTED,IN,NORMAL,
PHY-00161,2026-06-23T14:17:05Z,BADGE-0005,Security,GATE-02,YARD-C,GRANTED,IN,NORMAL,
PHY-00162,2026-06-22T23:13:37Z,BADGE-0004,Security,GATE-04,GATE-A,GRANTED,OUT,NORMAL,
PHY-00163,2026-06-24T01:40:28Z,BADGE-0100,Engineer,GATE-03,YARD-B,GRANTED,IN,NORMAL,
PHY-00164,2026-06-12T06:50:26Z,BADGE-0062,Operator,GATE-03,GATE-A,GRANTED,IN,SUSPICIOUS,
PHY-00165,2026-06-05T13:15:56Z,BADGE-0003,Operator,GATE-02,OT-ZONE,GRANTED,OUT,NORMAL,
PHY-00166,2026-06-09T05:56:55Z,BADGE-0041,Security,GATE-03,GATE-B,GRANTED,IN,NORMAL,
PHY-00167,2026-06-19T00:56:30Z,BADGE-0053,Vendor,GATE-01,YARD-C,GRANTED,OUT,NORMAL,
PHY-00168,2026-06-07T16:47:48Z,BADGE-0106,Security,GATE-02,GATE-B,GRANTED,OUT,NORMAL,
PHY-00169,2026-06-23T14:16:29Z,BADGE-0013,Engineer,GATE-04,CRANE-ZONE,GRANTED,IN,NORMAL,
PHY-00170,2026-06-11T01:10:02Z,BADGE-0033,Operator,GATE-02,YARD-A,GRANTED,IN,NORMAL,
PHY-00171,2026-06-21T01:36:26Z,BADGE-0080,Engineer,GATE-03,OT-ZONE,GRANTED,IN,NORMAL,
PHY-00172,2026-06-21T17:27:47Z,BADGE-0082,Engineer,GATE-04,OT-ZONE,GRANTED,OUT,NORMAL,
PHY-00173,2026-06-29T21:58:52Z,BADGE-0133,Vendor,GATE-01,GATE-B,GRANTED,IN,NORMAL,
PHY-00174,2026-06-10T23:59:12Z,BADGE-0003,Operator,GATE-03,OT-ZONE,GRANTED,OUT,NORMAL,
PHY-00175,2026-06-14T19:42:16Z,BADGE-0137,Engineer,GATE-01,GATE-B,GRANTED,OUT,NORMAL,
PHY-00176,2026-06-03T00:36:45Z,BADGE-0024,Engineer,GATE-03,OT-ZONE,GRANTED,OUT,NORMAL,
PHY-00177,2026-06-01T03:00:13Z,BADGE-0066,Operator,GATE-01,CRANE-ZONE,GRANTED,IN,NORMAL,
PHY-00178,2026-06-19T20:40:48Z,BADGE-0137,Engineer,GATE-04,YARD-A,GRANTED,IN,NORMAL,
PHY-00179,2026-06-12T05:40:29Z,BADGE-0002,Security,GATE-03,CONTROL-ROOM,GRANTED,IN,NORMAL,
PHY-00180,2026-06-04T11:40:26Z,BADGE-0089,Vendor,GATE-02,YARD-A,GRANTED,IN,NORMAL,
PHY-00181,2026-06-18T17:03:57Z,BADGE-0062,Operator,GATE-03,CRANE-ZONE,GRANTED,IN,NORMAL,
PHY-00182,2026-06-28T03:22:07Z,BADGE-0078,Vendor,GATE-03,YARD-C,GRANTED,OUT,NORMAL,
PHY-00183,2026-06-29T09:32:35Z,BADGE-0023,Engineer,GATE-03,YARD-C,GRANTED,OUT,NORMAL,
PHY-00184,2026-06-23T19:18:26Z,BADGE-0091,Vendor,GATE-02,GATE-A,GRANTED,OUT,NORMAL,
PHY-00185,2026-06-27T04:22:57Z,BADGE-0094,Security,GATE-04,CRANE-ZONE,GRANTED,IN,NORMAL,
PHY-00186,2026-06-22T01:31:28Z,BADGE-0098,Vendor,GATE-04,GATE-B,GRANTED,OUT,NORMAL,
PHY-00187,2026-06-02T01:45:56Z,BADGE-0088,Security,GATE-04,CONTROL-ROOM,GRANTED,OUT,NORMAL,
PHY-00188,2026-06-26T19:19:10Z,BADGE-0105,Engineer,GATE-01,CONTROL-ROOM,GRANTED,IN,NORMAL,
PHY-00189,2026-06-16T06:56:51Z,BADGE-0048,Engineer,GATE-03,YARD-A,DENIED,IN,SUSPICIOUS,
PHY-00190,2026-06-28T15:01:33Z,BADGE-0004,Vendor,GATE-02,YARD-C,GRANTED,IN,NORMAL,
PHY-00191,2026-06-17T13:15:41Z,BADGE-0090,Security,GATE-02,GATE-A,GRANTED,OUT,NORMAL,
PHY-00192,2026-06-03T23:18:52Z,BADGE-0045,Operator,GATE-03,YARD-B,GRANTED,IN,NORMAL,
PHY-00193,2026-06-08T04:59:29Z,BADGE-0089,Security,GATE-04,YARD-C,GRANTED,IN,NORMAL,
PHY-00194,2026-06-04T02:15:37Z,BADGE-0107,Vendor,GATE-04,YARD-A,GRANTED,IN,NORMAL,
PHY-00195,2026-06-02T19:45:38Z,BADGE-0143,Vendor,GATE-03,YARD-C,GRANTED,IN,NORMAL,
PHY-00196,2026-06-05T06:29:57Z,BADGE-0034,Vendor,GATE-02,YARD-B,GRANTED,OUT,NORMAL,
PHY-00197,2026-06-12T01:38:55Z,BADGE-0044,Operator,GATE-01,CRANE-ZONE,GRANTED,OUT,NORMAL,
PHY-00198,2026-06-10T00:28:56Z,BADGE-0081,Engineer,GATE-01,CONTROL-ROOM,GRANTED,IN,NORMAL,
PHY-00199,2026-06-08T04:46:51Z,BADGE-0011,Security,GATE-02,YARD-C,GRANTED,OUT,NORMAL,
PHY-00200,2026-06-22T17:24:07Z,BADGE-0118,Engineer,GATE-04,CONTROL-ROOM,GRANTED,OUT,NORMAL,
PHY-00201,2026-06-05T22:35:51Z,BADGE-0055,Vendor,GATE-03,CONTROL-ROOM,GRANTED,OUT,NORMAL,
PHY-00202,2026-06-03T19:50:10Z,BADGE-0076,Engineer,GATE-04,YARD-B,GRANTED,OUT,NORMAL,
PHY-00203,2026-06-17T20:30:51Z,BADGE-0122,Engineer,GATE-03,YARD-C,GRANTED,IN,NORMAL,
PHY-00204,2026-06-08T07:15:11Z,BADGE-0126,Engineer,GATE-03,GATE-B,GRANTED,OUT,NORMAL,
PHY-00205,2026-06-12T02:41:21Z,BADGE-0100,Security,GATE-02,YARD-A,GRANTED,IN,NORMAL,
PHY-00206,2026-06-16T14:22:18Z,BADGE-0129,Operator,GATE-02,GATE-A,GRANTED,OUT,NORMAL,
PHY-00207,2026-06-24T09:58:53Z,BADGE-0037,Vendor,GATE-02,YARD-C,GRANTED,OUT,NORMAL,
PHY-00208,2026-06-25T00:40:45Z,BADGE-0089,Operator,GATE-03,YARD-B,GRANTED,OUT,SUSPICIOUS,
PHY-00209,2026-06-15T17:02:18Z,BADGE-0131,Security,GATE-04,CRANE-ZONE,GRANTED,IN,NORMAL,
PHY-00210,2026-06-29T19:44:22Z,BADGE-0028,Operator,GATE-03,CONTROL-ROOM,GRANTED,OUT,NORMAL,
PHY-00211,2026-06-27T07:33:15Z,BADGE-0136,Engineer,GATE-03,CONTROL-ROOM,GRANTED,IN,NORMAL,
PHY-00212,2026-06-12T10:12:39Z,BADGE-0038,Security,GATE-04,CRANE-ZONE,GRANTED,OUT,NORMAL,
PHY-00213,2026-06-05T10:17:11Z,BADGE-0110,Vendor,GATE-02,GATE-B,GRANTED,OUT,NORMAL,
PHY-00214,2026-06-27T07:39:20Z,BADGE-0061,Engineer,GATE-02,YARD-A,GRANTED,OUT,NORMAL,
PHY-00215,2026-06-18T09:55:49Z,BADGE-0070,Security,GATE-04,YARD-A,GRANTED,IN,NORMAL,
