event_id,anomaly_score,anomaly_rank,event_label,risk_probability
VPN-00432,-0.006686607699232905,111,NORMAL,0.0229906525493145
VPN-00623,-0.008089622724590129,120,NORMAL,0.0088972744027758
VPN-00077,-0.008300125191069485,122,SUSPICIOUS,0.913638483266909
VPN-00970,-0.008763989612284306,128,NORMAL,0.010260429663427
VPN-01793,-0.00895226792670728,129,NORMAL,0.1049301615649601
VPN-01758,-0.009040224340297942,130,NORMAL,0.0116972031975273
VPN-00244,-0.009396321971612553,132,NORMAL,0.0128165821923987
VPN-00103,-0.009435608897987169,133,NORMAL,0.0075178863579729
VPN-00012,-0.010021186158484463,138,NORMAL,0.0091772973677333
VPN-00512,-0.010033105222980732,139,NORMAL,0.0157221069595385
VPN-01237,-0.010330238032351613,142,NORMAL,0.0142308630020126
VPN-00999,-0.010365840667153625,143,NORMAL,0.0097906811303121
VPN-01762,-0.011007881569248312,151,NORMAL,0.0293030495209355
VPN-00334,-0.011578146982154092,157,NORMAL,0.2434083070561776
VPN-01750,-0.01174377446240743,161,NORMAL,0.0258706159833186
VPN-00686,-0.011796828461471676,162,NORMAL,0.0316769372024144
VPN-00719,-0.011861905091789582,163,NORMAL,0.0705483397936408
VPN-00044,-0.012288565278969765,169,NORMAL,0.0638172608243914
VPN-00274,-0.012499298378297663,172,NORMAL,0.0348320991708245
VPN-00667,-0.012694441629708175,173,NORMAL,0.0611408106065924
VPN-01257,-0.012830148934391827,174,NORMAL,0.0081723246970093
VPN-00001,-0.012870252834209228,175,NORMAL,0.0234190572360911
VPN-01430,-0.012924734311976882,177,NORMAL,0.0243622304259833
VPN-01101,-0.013143372412923904,182,NORMAL,0.0354431944566318
VPN-01136,-0.013348899458955454,186,NORMAL,0.0472090708060288
VPN-00046,-0.01335976072030004,187,NORMAL,0.0167639134132634
VPN-00125,-0.013479852605014053,188,NORMAL,0.1653898919456279
VPN-01468,-0.013551282311690505,190,NORMAL,0.0122034600904893
VPN-00579,-0.01357315766687528,191,NORMAL,0.0212837646417005
VPN-00218,-0.013627670788131596,194,NORMAL,0.0265144344812675
VPN-01658,-0.01364435997511082,196,SUSPICIOUS,0.9244358427524472
VPN-00882,-0.013850927364344456,203,NORMAL,0.0806839911308272
VPN-00928,-0.013869383844580585,205,NORMAL,0.0115720806046891
VPN-00539,-0.013914731000470415,207,NORMAL,0.0172400377693474
VPN-01100,-0.013924945644233078,208,NORMAL,0.0443703592818709
VPN-01644,-0.014104445079857253,211,NORMAL,0.0265078261505296
VPN-00770,-0.014122510446143488,212,NORMAL,0.0339376837095952
VPN-00533,-0.01434650749491978,221,NORMAL,0.011405932425924
VPN-01092,-0.014571062194484175,224,NORMAL,0.0322570353223953
VPN-01312,-0.014955522028622381,238,NORMAL,0.0257411270185255
VPN-01018,-0.01499858707726498,239,NORMAL,0.0309033493576768
VPN-01125,-0.015125275823472673,245,NORMAL,0.0277892272022397
VPN-01179,-0.015264452768990244,251,NORMAL,0.0260069962611421
VPN-01001,-0.015458869037018153,253,NORMAL,0.041404466853652
VPN-01190,-0.015617442859606812,260,NORMAL,0.0244368984909518
VPN-00226,-0.015659570122939892,262,NORMAL,0.0322094022785625
VPN-01118,-0.015666489043464626,263,SUSPICIOUS,0.0333868398062945
VPN-00475,-0.015721563141571693,266,NORMAL,0.0511031007434748
VPN-00493,-0.015777770139949854,268,NORMAL,0.0121441335091836
VPN-01057,-0.015825381834865315,269,NORMAL,0.2392266799820699
VPN-01067,-0.015835569964280205,272,NORMAL,0.0409009876708138
VPN-00793,-0.0159435383975311,277,NORMAL,0.0057519222918562
VPN-00779,-0.01622537708111227,286,NORMAL,0.0101130695888401
VPN-01545,-0.016366214827754633,297,NORMAL,0.0284930175667559
VPN-01730,-0.01639243718055139,299,NORMAL,0.0093849739110851
VPN-00654,-0.016430652357632636,301,NORMAL,0.0710840808939982
VPN-00000,-0.016439629992273164,302,NORMAL,0.0337230150165923
VPN-01757,-0.01658937252988396,309,NORMAL,0.0042620227394348
VPN-00173,-0.016666422192020025,313,NORMAL,0.0137353333058603
VPN-00984,-0.016863980503774856,323,NORMAL,0.0228526566524664
VPN-00446,-0.01696238746644102,324,NORMAL,0.0118943372461594
VPN-00166,-0.016995332554745723,326,NORMAL,0.017549597829652
VPN-01373,-0.017061673012666756,330,NORMAL,0.018389175243029
VPN-00630,-0.017147057812739508,334,NORMAL,0.0141190260054715
VPN-00080,-0.01716367046507783,336,NORMAL,0.1150818407828749
VPN-00607,-0.017427432207324234,343,NORMAL,0.0174657381951042
VPN-00011,-0.017456596689328197,345,NORMAL,0.0269934827844047
VPN-00247,-0.017493301248252657,348,NORMAL,0.0199421679205944
VPN-00038,-0.017495810431369885,349,NORMAL,0.0066152990736404
VPN-01517,-0.017677448854498956,352,NORMAL,0.0106090462476921
VPN-01278,-0.017736596624114864,356,NORMAL,0.3340926916836401
VPN-00661,-0.017809566257910525,361,NORMAL,0.0340593065697699
VPN-01765,-0.01787178402013928,363,NORMAL,0.0152081838006134
VPN-01006,-0.01793358202486517,367,NORMAL,0.0200160170754636
VPN-00504,-0.017973271981727712,371,NORMAL,0.0209253038157696
VPN-00950,-0.017991454969408238,373,NORMAL,0.0829933634542458
VPN-01009,-0.018243893461844796,384,NORMAL,0.0114200932332324
VPN-01362,-0.01825780883928335,387,NORMAL,0.0448653147533815
VPN-01690,-0.018344059401345536,394,NORMAL,0.0117043073483532
VPN-01258,-0.01841130951767439,397,NORMAL,0.0205936004033481
VPN-01246,-0.0184149643961381,398,NORMAL,0.0677571203271507
VPN-01045,-0.01842857109674645,400,NORMAL,0.0415270776219141
VPN-01735,-0.018446492321685215,401,NORMAL,0.1634280312979076
VPN-00378,-0.01860165496917543,408,NORMAL,0.0419050177158553
VPN-00190,-0.018704732456813034,411,NORMAL,0.119045634104019
VPN-00492,-0.018706958972600496,412,NORMAL,0.0036831600229027
VPN-00735,-0.018745497699771074,416,NORMAL,0.0064951866967374
VPN-00342,-0.018832978771086972,421,NORMAL,0.0066028862872332
VPN-01624,-0.018840299117697523,422,NORMAL,0.0430051208861833
VPN-00114,-0.01887968886184721,423,NORMAL,0.0411517970618019
VPN-01733,-0.01895911144203105,427,NORMAL,0.0245362866295295
VPN-00720,-0.01902757222277096,430,NORMAL,0.1491099129971009
VPN-01493,-0.01910743836872314,432,NORMAL,0.1042958992431709
VPN-00678,-0.01916518646398435,436,NORMAL,0.3327224561964354
VPN-00794,-0.019216925207232782,439,NORMAL,0.0256997627180161
VPN-00612,-0.019303242454262792,442,NORMAL,0.407046640285173
VPN-01570,-0.0193195538852875,445,NORMAL,0.2332240440966743
VPN-01685,-0.019368726691291138,447,NORMAL,0.0338813135450313
VPN-00839,-0.01944615346667422,452,NORMAL,0.0134752234891435
VPN-01238,-0.019500193375391606,454,NORMAL,0.0089402222206097
VPN-01335,-0.019508688871511415,455,NORMAL,0.0107878068446774
VPN-01071,-0.01956633650307299,458,NORMAL,0.3463842292099659
VPN-00643,-0.01957864724575442,459,NORMAL,0.0833666339370341
VPN-00304,-0.019617447363646123,461,NORMAL,0.0068721538543152
VPN-01155,-0.01967002834670417,464,NORMAL,0.0279494197783609
VPN-00266,-0.019697779769515866,467,NORMAL,0.0063881243791342
VPN-01650,-0.019788707623653035,469,NORMAL,0.0138747048328625
VPN-00932,-0.019788707623653035,468,NORMAL,0.2467737969673476
VPN-00650,-0.0197924531274159,470,NORMAL,0.0315969174073007
VPN-00890,-0.019801701055205234,471,NORMAL,0.0036209920418528
VPN-01141,-0.01984320392414779,474,NORMAL,0.0179737402663279
VPN-00391,-0.019994026441285173,485,NORMAL,0.0049032045510599
VPN-01184,-0.019997243107590157,487,NORMAL,0.0333395074505571
VPN-01566,-0.02013505438190033,494,NORMAL,0.032278724064965
VPN-00271,-0.020140089199747413,495,NORMAL,0.0237299192849133
VPN-00336,-0.020152459550437873,497,NORMAL,0.0071669340386448
VPN-01696,-0.02016086488654062,498,NORMAL,0.1877763180508997
VPN-01503,-0.02030112318673627,501,NORMAL,0.0110694510411099
VPN-01561,-0.020321973201491816,503,NORMAL,0.0571299871256299
VPN-00375,-0.020415539887938927,508,NORMAL,0.0205003091703517
VPN-00402,-0.020423819639116603,509,NORMAL,0.0256742346645282
VPN-00131,-0.020446514880638256,510,NORMAL,0.0303904676177368
VPN-01607,-0.02046739235153827,511,NORMAL,0.0207631838280253
VPN-01030,-0.020475502777916377,512,NORMAL,0.0157913470283526
VPN-00835,-0.020565798135211588,518,NORMAL,0.0128569833494143
VPN-01505,-0.02057161013533504,520,NORMAL,0.3460333038862473
VPN-01790,-0.020576599223069314,521,NORMAL,0.0343097148194152
VPN-00406,-0.02060656197581906,525,NORMAL,0.0084549031065614
VPN-00990,-0.020629604890358644,526,NORMAL,0.0348427981228743
VPN-00486,-0.020697547932591098,531,NORMAL,0.007250669870696
VPN-00154,-0.020748128583239267,534,NORMAL,0.0084533132124223
VPN-00185,-0.02078650797207432,538,NORMAL,0.0048910442941216
VPN-01485,-0.020845629290331402,541,NORMAL,0.0047225807263137
VPN-01383,-0.02086459095873816,542,NORMAL,0.0320675053217854
VPN-01102,-0.020867829273301275,543,NORMAL,0.023144821701365
VPN-00844,-0.020892393182290914,546,NORMAL,0.0042856597347945
VPN-00421,-0.020960005640619783,550,NORMAL,0.0364438827698499
VPN-01700,-0.020971745355399696,551,NORMAL,0.014785789672197
VPN-01213,-0.021057332905894788,553,NORMAL,0.0229374919777852
VPN-00117,-0.021095981464408498,557,NORMAL,0.0564533334475213
VPN-00556,-0.021118118864501823,559,NORMAL,0.0211525246180708
VPN-00822,-0.02117112392973558,560,NORMAL,0.0410118756546499
VPN-00096,-0.021232199066079815,566,NORMAL,0.023701901373642
VPN-01002,-0.021331955665667757,578,NORMAL,0.0104552828133228
VPN-00071,-0.021350610582540896,580,NORMAL,0.0149364033863166
VPN-00197,-0.021397889380316948,583,NORMAL,0.0279271518261526
VPN-00381,-0.021416311921740705,587,NORMAL,0.0339649092339866
VPN-00366,-0.02152029324888699,595,NORMAL,0.3282258513865952
VPN-00083,-0.021548831693138815,596,NORMAL,0.04184724880496
VPN-01760,-0.021560152167112212,597,SUSPICIOUS,0.02587676657198
VPN-01305,-0.021562397259847044,598,NORMAL,0.1862430478103178
VPN-01556,-0.021580945065675317,600,NORMAL,0.003847232000016
VPN-00033,-0.02166412034069659,602,NORMAL,0.0109743221389868
VPN-01787,-0.021677838228002067,603,NORMAL,0.2904250253220194
VPN-01579,-0.021689219510189317,604,NORMAL,0.2008388994887305
VPN-00152,-0.02169885690263773,605,NORMAL,0.0542790955571937
VPN-00632,-0.0218990096210277,614,NORMAL,0.0197557408762277
VPN-01529,-0.021984697480688264,616,NORMAL,0.0283521146178082
VPN-00119,-0.022019899086146322,617,NORMAL,0.0439674711956951
VPN-00092,-0.02206638285492285,619,NORMAL,0.2011762990230959
VPN-01041,-0.022270771430182468,626,NORMAL,0.0229843820098792
VPN-01604,-0.022270771430182468,627,NORMAL,0.0206122656751061
VPN-00772,-0.022330863920108246,630,NORMAL,0.0358427095900862
VPN-01327,-0.022349565393189108,631,NORMAL,0.0277657363466772
VPN-00435,-0.022387900181322695,634,NORMAL,0.266530719189547
VPN-00122,-0.02246409740620453,639,NORMAL,0.0267118078443123
VPN-00689,-0.022545405948678765,645,NORMAL,0.0154629271433605
VPN-01724,-0.02261456701369796,651,NORMAL,0.0680626505356342
VPN-00439,-0.02264398221837871,652,NORMAL,0.0152778282445515
VPN-00783,-0.022751080593035322,660,NORMAL,0.037141119331425
VPN-01667,-0.022775435326945703,665,NORMAL,0.0324496900141542
VPN-00952,-0.022846485455361498,667,NORMAL,0.0366487697241867
VPN-01499,-0.02286589098008779,669,NORMAL,0.048126266084915
VPN-00021,-0.02292573210056642,673,NORMAL,0.0256136436703759
VPN-01388,-0.0229639630151095,675,NORMAL,0.0286636749310562
VPN-01109,-0.02296647301536897,676,NORMAL,0.0319533936911615
VPN-00660,-0.023007122058802232,679,NORMAL,0.0325577755396598
VPN-00091,-0.023009493446469464,681,NORMAL,0.0169725726113824
VPN-01314,-0.02306370428353316,687,NORMAL,0.0287263609424798
VPN-01799,-0.02312685226172667,692,NORMAL,0.0191187790528775
VPN-00570,-0.023163711767692274,696,NORMAL,0.0326803147439999
VPN-00696,-0.023243948271021497,702,NORMAL,0.0319270072373963
VPN-01473,-0.023303732618339068,709,NORMAL,0.0107384217472973
VPN-01632,-0.023435205547073623,719,NORMAL,0.0139214175094821
VPN-00151,-0.02345605097125747,720,NORMAL,0.0123610029045231
VPN-01003,-0.023460444506266942,721,NORMAL,0.0188935529355187
VPN-01275,-0.0234655619907585,722,NORMAL,0.2299503635624183
VPN-00363,-0.023494363572985955,726,NORMAL,0.0261119970830008
VPN-01340,-0.02350954641092079,728,NORMAL,0.0271398354799401
VPN-00676,-0.02361307612194885,736,NORMAL,0.0066482638814139
VPN-00789,-0.023646472413240582,739,NORMAL,0.0032297691714245
VPN-00671,-0.023658544541493742,742,NORMAL,0.0221537054136134
VPN-00292,-0.023723218859555584,750,NORMAL,0.0035143442096692
VPN-00727,-0.023762552312659502,753,NORMAL,0.0165702962388401
VPN-01587,-0.02376555263313923,754,NORMAL,0.023701901373642
VPN-00690,-0.023870215239197357,761,NORMAL,0.0347059905307006
VPN-00393,-0.023984585443849238,770,NORMAL,0.0127069057844018
VPN-00865,-0.0240009836540388,771,NORMAL,0.0430319031221828
VPN-01766,-0.024164510624375857,780,SUSPICIOUS,0.0234198148603292
VPN-00283,-0.02417662461848097,781,NORMAL,0.0218943267724693
VPN-01358,-0.02418069119484656,782,NORMAL,0.0677437915049326
VPN-01287,-0.024223722370586953,784,NORMAL,0.0159124928852927
VPN-01521,-0.024237645967562838,787,NORMAL,0.2530420532179054
VPN-00941,-0.02433015159667523,795,NORMAL,0.0345340360577727
VPN-01270,-0.02442399654333599,798,NORMAL,0.0210568146142731
VPN-01709,-0.02442455527499049,799,NORMAL,0.045754473658652
VPN-00700,-0.02447822258567267,801,NORMAL,0.0542585682330378
VPN-00880,-0.02452576778247556,802,NORMAL,0.0252364127752073
VPN-00583,-0.02453334534356233,803,NORMAL,0.0145081481800211
VPN-00106,-0.024612650039738004,808,NORMAL,0.0198050149130058
VPN-00169,-0.024635906493016446,809,NORMAL,0.2404160602986011
VPN-00168,-0.024718735094875044,815,NORMAL,0.0223677968827715
VPN-01615,-0.024754453875474203,817,NORMAL,0.0219517068032304
VPN-00596,-0.024774988904463224,819,NORMAL,0.0234651864605754
VPN-00602,-0.024806103250425426,821,NORMAL,0.0234167566058661
VPN-00300,-0.02484086193681423,823,NORMAL,0.0370901466641797
VPN-01739,-0.024862710237499808,828,NORMAL,0.0183186435683187
VPN-01107,-0.024914729855730677,829,NORMAL,0.0206450312998683
VPN-00840,-0.024929162405842864,831,NORMAL,0.0596533786423479
VPN-01271,-0.024972984591773106,835,NORMAL,0.0265180542163681
VPN-00983,-0.025131281391437943,846,NORMAL,0.1595418509404164
VPN-00891,-0.025151275603406242,848,NORMAL,0.0130053706076282
VPN-00269,-0.025186310744027662,853,NORMAL,0.0040737715378539
VPN-01047,-0.025217312278976167,857,NORMAL,0.0604724321764169
VPN-00912,-0.02530397286941488,861,NORMAL,0.046685947132693
VPN-00180,-0.025306103920977874,862,NORMAL,0.2087548596375498
VPN-00241,-0.025349582514312907,865,NORMAL,0.0038712051392352
VPN-01437,-0.025421639727921552,868,NORMAL,0.0183186435683187
VPN-00333,-0.025449122294544935,870,NORMAL,0.0223861517699788
VPN-01770,-0.02546227578984528,873,NORMAL,0.0315647378280906
VPN-00888,-0.025523154309413987,877,NORMAL,0.0040532514595725
VPN-00518,-0.025681795933827356,885,NORMAL,0.0159824147679607
VPN-00692,-0.02579478729421819,891,NORMAL,0.0319590591086826
VPN-00099,-0.02580853475385203,892,NORMAL,0.1664763684085658
VPN-00295,-0.025858279028117326,895,NORMAL,0.0236544512157975
VPN-00755,-0.02603906199936229,911,NORMAL,0.008126144832877
VPN-00769,-0.026048775043043593,913,NORMAL,0.0246464939488533
VPN-01302,-0.026065102504776394,915,NORMAL,0.0331906524955464
VPN-01243,-0.026146980049992885,920,NORMAL,0.1803193659611652
VPN-01628,-0.02623089903538911,924,NORMAL,0.0117507877018139
VPN-01707,-0.026256561487175922,926,NORMAL,0.0659252019762075
VPN-00107,-0.02625941527390202,927,NORMAL,0.0278488346245996
VPN-00954,-0.02627968495036237,929,NORMAL,0.0273174828773601
VPN-00379,-0.02632768664058205,932,NORMAL,0.03320758294959
VPN-00155,-0.02642864722605054,934,NORMAL,0.0300379100291532
VPN-00628,-0.026439580020281517,935,NORMAL,0.0082204859888101
VPN-01694,-0.026444056623298073,937,NORMAL,0.0067443455122922
VPN-00966,-0.026455428997089026,938,NORMAL,0.0181838469427805
VPN-01252,-0.02656003700504017,949,NORMAL,0.0137939997707113
VPN-00947,-0.026686778431392222,955,NORMAL,0.0178890233363998
VPN-01662,-0.02672526187179297,958,NORMAL,0.3337145105005625
VPN-01013,-0.026726480132847896,959,NORMAL,0.0160873451241775
VPN-01601,-0.02674505038695968,961,NORMAL,0.0176004220631114
VPN-01761,-0.02677243379035088,963,NORMAL,0.008237232356415
VPN-00831,-0.026781624142540594,964,NORMAL,0.0600426276949422
VPN-00230,-0.02682429949728521,967,NORMAL,0.2976590940863233
VPN-01389,-0.026837627738047987,969,NORMAL,0.0153992510360986
VPN-01498,-0.026893939262090383,973,NORMAL,0.0104379028446649
VPN-00212,-0.026908535675734924,975,NORMAL,0.0322461255998303
VPN-01459,-0.02691082310342946,976,NORMAL,0.0081483202965566
VPN-00086,-0.02692107170623298,977,NORMAL,0.0209660138001591
VPN-00597,-0.027042298369547135,985,NORMAL,0.0066979501759016
VPN-01500,-0.02705700595447741,986,NORMAL,0.0200303300892987
VPN-00675,-0.027088203229472252,988,NORMAL,0.0039233707723722
VPN-01286,-0.027111056843434456,992,NORMAL,0.0232679037407022
VPN-01189,-0.02711743625810814,993,NORMAL,0.0086351754808156
VPN-00329,-0.02724395914037797,1004,NORMAL,0.0293685790939578
VPN-00942,-0.027267654682599896,1006,NORMAL,0.0265711851599102
VPN-00502,-0.02731244140127964,1008,NORMAL,0.0410682870864768
VPN-00194,-0.027378104928719782,1011,NORMAL,0.0516961438883044
VPN-00577,-0.027414301261101504,1016,NORMAL,0.2736648433161734
VPN-00949,-0.027441450315288607,1019,NORMAL,0.006696222443946
VPN-01034,-0.027455530184555432,1021,NORMAL,0.0338988482906981
VPN-00600,-0.027480233630502615,1023,NORMAL,0.014931325388784
VPN-00850,-0.02755566046092095,1027,NORMAL,0.0107735612422407
VPN-00444,-0.027636196875174657,1030,NORMAL,0.0109713953444483
VPN-01749,-0.027691532448473832,1033,NORMAL,0.007186216286695
VPN-00459,-0.02770387624385262,1034,NORMAL,0.0412929211591049
VPN-00065,-0.02778125813662452,1041,NORMAL,0.0280527967670924
VPN-01211,-0.027803570347394058,1042,NORMAL,0.2039252178668237
VPN-00009,-0.027892004483603294,1048,NORMAL,0.0122802012961507
VPN-01299,-0.027946355944652224,1050,NORMAL,0.0222872153030852
VPN-00814,-0.0279703574480627,1052,NORMAL,0.308487163710646
VPN-01346,-0.028053895325877598,1055,NORMAL,0.0437229560541729
VPN-01321,-0.028082936568224248,1056,NORMAL,0.0615288906645348
VPN-01307,-0.028085458070049973,1058,NORMAL,0.0398945901284952
VPN-00238,-0.02809851527258811,1060,NORMAL,0.0120488570736981
VPN-01395,-0.028116344942404725,1063,NORMAL,0.0279466959093335
VPN-01567,-0.028171273145565,1065,NORMAL,0.0327300379429133
VPN-00909,-0.028372991554586335,1080,NORMAL,0.2634853179054045
VPN-01703,-0.02837997193900116,1081,NORMAL,0.0183479029319134
VPN-01339,-0.02842604470164467,1083,NORMAL,0.0147392825188857
VPN-00452,-0.028449596563925872,1085,NORMAL,0.0561717599126347
VPN-00841,-0.028454013867507344,1086,NORMAL,0.0060874694153792
VPN-01095,-0.028492376473738035,1087,NORMAL,0.020747527690955
VPN-00977,-0.028621002387187566,1093,NORMAL,0.0068610832899697
VPN-00934,-0.028661533439964415,1096,NORMAL,0.0159792191012421
VPN-00917,-0.02868335160094504,1099,NORMAL,0.0216854398252594
VPN-01476,-0.028769736004645052,1104,NORMAL,0.0164107066712202
VPN-00545,-0.02879181890465321,1105,NORMAL,0.0310974930649454
VPN-01032,-0.028861916670098853,1109,NORMAL,0.0296036176959182
VPN-00798,-0.02886342070143677,1110,NORMAL,0.0074943760423036
VPN-00758,-0.028879590993108106,1112,NORMAL,0.036256458407127
VPN-00024,-0.028921232104758887,1116,NORMAL,0.0217795312461359
VPN-00804,-0.02893417060452569,1118,NORMAL,0.0160007897740669
VPN-01256,-0.028951241271901518,1119,NORMAL,0.0148181885354306
VPN-00819,-0.028964978994341695,1120,NORMAL,0.0312891237801722
VPN-00069,-0.028988929903891958,1122,NORMAL,0.0137620891723099
VPN-00219,-0.029003408014244114,1123,NORMAL,0.2225001662382205
VPN-01132,-0.029032337142155695,1126,NORMAL,0.0270909352913936
VPN-00953,-0.029085848622003918,1129,NORMAL,0.0367635333801255
VPN-01784,-0.029121597026907364,1131,NORMAL,0.0661395937949287
VPN-01408,-0.029186343714120044,1134,NORMAL,0.0259818847895022
VPN-01059,-0.02918755207897694,1135,NORMAL,0.0245557196817342
VPN-00734,-0.02918896020280265,1137,NORMAL,0.0077095608627532
VPN-01631,-0.029285415123851688,1141,NORMAL,0.0176721823065286
VPN-01054,-0.02932687546667556,1143,NORMAL,0.0592832605019787
VPN-00640,-0.029356553354390358,1145,NORMAL,0.012823314570667
VPN-00683,-0.02940673540022376,1149,NORMAL,0.0183410564729605
VPN-01530,-0.0294132190720231,1150,NORMAL,0.0505508226453293
VPN-00423,-0.029443913589827286,1151,NORMAL,0.0495482354638544
VPN-00029,-0.029549059766005026,1155,NORMAL,0.0064224709368228
VPN-00110,-0.029572655278693682,1156,NORMAL,0.0324241939056617
VPN-01116,-0.02966952443861043,1162,NORMAL,0.0352336957584183
VPN-01400,-0.029760662262071247,1169,NORMAL,0.0041888524280027
VPN-01455,-0.02977264726638601,1173,NORMAL,0.036981676926366
VPN-01746,-0.02991934526019846,1183,NORMAL,0.0234058461246232
VPN-00414,-0.02992921271765081,1185,NORMAL,0.0082490578996909
VPN-00809,-0.029964024269463096,1188,NORMAL,0.0290690501140579
VPN-01163,-0.030100354762956916,1192,NORMAL,0.0474010614657334
VPN-00736,-0.030108384114071185,1193,NORMAL,0.040224410367649
VPN-00235,-0.030296116783713578,1202,NORMAL,0.0034005790535553
VPN-01337,-0.030316564908827837,1203,NORMAL,0.2273084630120663
VPN-00642,-0.03032052182238082,1204,NORMAL,0.5679098211852597
VPN-01573,-0.030340623438793346,1207,NORMAL,0.0184151698492423
VPN-00465,-0.030376981107356926,1211,NORMAL,0.0175798518232038
VPN-00365,-0.030432679350646086,1214,NORMAL,0.0065903250804841
VPN-01178,-0.030483970776151337,1217,NORMAL,0.0630401844507974
VPN-01223,-0.030551077139341576,1219,NORMAL,0.3989981407187504
VPN-01553,-0.03060269711555441,1224,NORMAL,0.0189639746440571
VPN-01633,-0.030649095733833343,1229,NORMAL,0.3869073465460749
VPN-01303,-0.030655083569080255,1230,NORMAL,0.019796285611323
VPN-00163,-0.030727329659970604,1233,NORMAL,0.0078521704671684
VPN-00052,-0.030766492865802908,1236,NORMAL,0.1007214689527242
VPN-00019,-0.030792617046101145,1238,NORMAL,0.0207442107022672
VPN-01581,-0.030814984846619042,1240,NORMAL,0.0062057231992496
VPN-00220,-0.03082146707820027,1242,NORMAL,0.0072017402794844
VPN-01017,-0.03085368982280412,1244,NORMAL,0.0214491978367045
VPN-01138,-0.030902476683374425,1249,NORMAL,0.0316476003490624
VPN-01298,-0.030912044135358918,1250,NORMAL,0.0168533633948857
VPN-00017,-0.030939511233254557,1251,NORMAL,0.0470799867884111
VPN-01027,-0.03120188301636917,1262,NORMAL,0.0360743163865711
VPN-00657,-0.031244215184129842,1265,NORMAL,0.0118660846663555
VPN-00552,-0.031255039846385335,1267,NORMAL,0.0380992528578647
VPN-01460,-0.03128269954015078,1269,NORMAL,0.2192595807722261
VPN-01571,-0.03129859482090441,1274,SUSPICIOUS,0.2440398859527969
VPN-00644,-0.03133418658306791,1278,NORMAL,0.0262785451575252
VPN-00509,-0.031358232058047386,1279,NORMAL,0.0048818436595338
VPN-00112,-0.0313660742153396,1280,NORMAL,0.0148080415747345
VPN-01348,-0.03146777457235078,1287,NORMAL,0.0133634462068239
VPN-01732,-0.03152043790505987,1291,NORMAL,0.0542789423456609
VPN-00332,-0.03156287409958358,1292,NORMAL,0.2857548880778181
VPN-00060,-0.03157204114572065,1293,NORMAL,0.2299785272956944
VPN-00385,-0.03158594223820321,1295,NORMAL,0.0046331552788575
VPN-00217,-0.031598319191423196,1297,NORMAL,0.0115775780430047
VPN-00176,-0.03162990032728019,1299,NORMAL,0.0274000500627608
VPN-00886,-0.03170585950110216,1304,NORMAL,0.0239585981269987
VPN-00328,-0.03172511100470288,1305,NORMAL,0.016514608474429
VPN-00031,-0.03172792345732722,1306,NORMAL,0.0209586717222339
VPN-00023,-0.03181564150282579,1313,NORMAL,0.0069110078071334
VPN-00520,-0.031848101686324515,1314,NORMAL,0.1219950320297431
VPN-00738,-0.0319103635140815,1318,NORMAL,0.0205633719165188
VPN-00530,-0.03193287670877443,1319,NORMAL,0.0443472672838461
VPN-01422,-0.03197933624142252,1321,NORMAL,0.0806738745356023
